#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.2328	-0.0003475	0.13707	-6.5302E-05	0.082828	-1.7545E-05	1.0582	-0.0005333	0.94003	-0.0016361	0.7672	-0.0012182	0.64427	-0.0022413	0.4888	-0.00064054	1.0689	-0.00060012	0.94552	-0.0016564	0.76702	-0.0012288	0.63982	-0.0025465	0.48079	-0.00068135	0.77481	-0.012617	1.0627	-0.00053605	0.86958	-0.0016306	0.66627	-0.001068	0.51438	-0.0007192	0.6185	-5.3373E-06	0.87491	-0.0021115	0.6701	-0.0011353	0.52596	-0.00056261	0.42861	-0.00023321	0.34359	-7.2166E-05	1.0743	-0.00047453	0.89674	-0.0018842	0.6732	-0.00085367	0.52869	-0.00058559	0.41137	-0.00056494	1.0887	-0.0019729	1.0268	-0.00015556	0.84348	-0.0027395	0.6853	-0.0016798	0.50348	-0.00058095	0.39793	-0.00057352	1.0854	-0.00021123	0.8886	-0.0001042	0.98257	-0.00011645	0.76105	-0.00010215	0.85694	-2.6282E-06	0.85333	-3.8536E-05	0.41536	-0.00018561	0.32218	-0.00013167	0.22733	-0.00012306	0.139	-8.2875E-05	0.080202	-2.2232E-05	0.41885	0.00035824	0.32774	-0.00012865	0.22691	-0.00014059	0.13775	-7.8617E-05	0.084917	-7.7965E-05	1.0738	-0.00044602	0.89386	-0.0018741	0.66343	-0.0011512	0.52737	-0.0008512	0.61612	-6.9712E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.0567	-0.00053519	0.93801	-0.001646	0.76661	-0.0012262	0.64276	-0.0022536	0.48859	-0.00064062	1.0674	-0.00060462	0.94343	-0.001669	0.76643	-0.0012369	0.63817	-0.0025619	0.48057	-0.00068114	NAN	NAN	1.0613	-0.00053712	0.86778	-0.0016183	0.66538	-0.0010645	0.51408	-0.00071729	0.6185	-5.4478E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0734	-0.00047499	0.89439	-0.0018623	0.6725	-0.00084978	0.52838	-0.00058542	NAN	NAN	1.0903	-0.0025444	1.0259	-0.00015618	0.84108	-0.0027216	0.68414	-0.0016762	0.50326	-0.0005792	NAN	NAN	1.0851	-0.00020909	0.8885	-0.00010415	0.98232	-0.00011602	0.761	-0.00010177	0.85701	-2.6788E-06	0.85329	-3.9058E-05	0.41515	-0.00018526	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0734	-0.00048097	0.8917	-0.0018642	0.66248	-0.0011471	0.52698	-0.00084919	0.61607	-7.0484E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0563	-0.00053401	0.93787	-0.0016458	0.76649	-0.0012247	0.64294	-0.0022581	0.48852	-0.00064076	1.067	-0.0006049	0.94327	-0.0016688	0.7663	-0.0012353	0.63835	-0.0025673	0.48049	-0.00068078	NAN	NAN	1.061	-0.00053616	0.86767	-0.0016175	0.66554	-0.0010658	0.51401	-0.00071818	0.6185	-5.4672E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0731	-0.00047527	0.89425	-0.0018605	0.67264	-0.0008504	0.52836	-0.0005856	NAN	NAN	1.0904	-0.0026163	1.0258	-0.00015634	0.84084	-0.0027225	0.68422	-0.0016748	0.50319	-0.00057983	NAN	NAN	1.085	-0.00020977	0.88851	-0.00010396	0.98229	-0.00011592	0.76099	-0.00010193	0.85703	-2.6894E-06	0.85328	-3.9168E-05	0.41517	-0.00018551	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0732	-0.00048548	0.89157	-0.0018633	0.66264	-0.0011487	0.52691	-0.00085009	0.61607	-7.0664E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0551	-0.00053179	0.93717	-0.0016452	0.76612	-0.0012261	0.6426	-0.0022688	0.48835	-0.0006414	1.0658	-0.00060675	0.94254	-0.001669	0.76593	-0.0012367	0.63795	-0.0025809	0.4803	-0.00068085	NAN	NAN	1.0598	-0.00053445	0.86718	-0.001614	0.6654	-0.0010664	0.51382	-0.00071827	0.6185	-5.506E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0722	-0.0004767	0.89356	-0.0018516	0.67256	-0.00085008	0.52821	-0.00058573	NAN	NAN	1.0912	-0.0029645	1.0253	-0.00015595	0.84	-0.002722	0.68387	-0.0016717	0.50303	-0.00057976	NAN	NAN	1.0847	-0.00021028	0.88849	-0.00010334	0.98218	-0.00011559	0.76096	-0.00010202	0.85705	-2.7117E-06	0.85326	-3.938E-05	0.41507	-0.00018544	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0727	-0.00050864	0.89095	-0.001859	0.66248	-0.0011494	0.52669	-0.00085021	0.61605	-7.0985E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.054	-0.00053119	0.93666	-0.0016418	0.76591	-0.0012274	0.64231	-0.0022751	0.48824	-0.00064191	1.0649	-0.00060967	0.94198	-0.0016656	0.76572	-0.001238	0.63761	-0.0025892	0.48017	-0.00068105	NAN	NAN	1.0589	-0.00053426	0.86691	-0.0016128	0.66526	-0.0010662	0.5137	-0.00071819	0.6185	-5.541E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0716	-0.00047885	0.89313	-0.0018454	0.67246	-0.00084942	0.52812	-0.00058584	NAN	NAN	1.0921	-0.0032849	1.0248	-0.00015546	0.83956	-0.0027226	0.68362	-0.0016701	0.50293	-0.0005796	NAN	NAN	1.0846	-0.00021026	0.88849	-0.00010283	0.98207	-0.00011512	0.76094	-0.00010203	0.85708	-2.7331E-06	0.85324	-3.9608E-05	0.41499	-0.00018532	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0723	-0.00053078	0.89061	-0.0018568	0.66232	-0.0011493	0.52655	-0.00085018	0.61603	-7.1243E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0522	-0.00052799	0.93585	-0.0016383	0.76554	-0.0012307	0.64172	-0.002287	0.48801	-0.00064308	1.063	-0.00061316	0.94109	-0.0016624	0.76535	-0.0012413	0.63695	-0.0026049	0.47991	-0.00068151	NAN	NAN	1.0571	-0.00053217	0.86641	-0.0016097	0.66497	-0.0010657	0.51347	-0.00071824	0.6185	-5.5813E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0704	-0.00048241	0.89238	-0.0018355	0.67224	-0.00084838	0.52794	-0.00058605	NAN	NAN	1.0938	-0.0039328	1.024	-0.00015388	0.83873	-0.0027228	0.68311	-0.0016667	0.50275	-0.0005796	NAN	NAN	1.0844	-0.00021003	0.88848	-0.00010218	0.98193	-0.00011448	0.76091	-0.00010207	0.85712	-2.764E-06	0.85322	-3.9971E-05	0.41484	-0.00018504	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0717	-0.00057655	0.88997	-0.0018527	0.662	-0.0011489	0.52628	-0.0008502	0.61601	-7.1478E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.0494	-0.00051886	0.93466	-0.0016358	0.76504	-0.0012348	0.64097	-0.0023024	0.48773	-0.00064488	1.0602	-0.00061396	0.93982	-0.0016606	0.76485	-0.0012454	0.63609	-0.0026256	0.47958	-0.00068245	NAN	NAN	1.0544	-0.00052514	0.86559	-0.001603	0.66461	-0.0010653	0.5132	-0.00071828	0.61849	-5.6524E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0685	-0.00048617	0.89123	-0.0018204	0.67198	-0.00084718	0.52773	-0.00058624	NAN	NAN	1.0968	-0.0050536	1.0229	-0.00015102	0.83743	-0.0027189	0.68246	-0.0016622	0.50253	-0.00057959	NAN	NAN	1.084	-0.00020966	0.88845	-0.00010149	0.98176	-0.00011383	0.76086	-0.00010207	0.85717	-2.8107E-06	0.85317	-4.051E-05	0.41463	-0.00018453	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0707	-0.00065849	0.88894	-0.0018448	0.6616	-0.0011486	0.52595	-0.00085013	0.61597	-7.19E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0483	-0.00051372	0.93431	-0.0016351	0.7649	-0.0012359	0.64076	-0.0023072	0.48764	-0.0006456	1.0591	-0.00061276	0.93945	-0.00166	0.7647	-0.0012465	0.63585	-0.0026321	0.47948	-0.00068298	NAN	NAN	1.0533	-0.000521	0.86535	-0.0016009	0.66451	-0.0010653	0.51312	-0.00071823	0.61849	-5.6783E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0677	-0.00048727	0.89089	-0.0018159	0.67191	-0.00084682	0.52767	-0.00058629	NAN	NAN	1.0979	-0.005501	1.0225	-0.00014967	0.83705	-0.0027174	0.68229	-0.001661	0.50247	-0.00057951	NAN	NAN	1.0839	-0.00020963	0.88843	-0.00010128	0.98172	-0.00011362	0.76084	-0.00010206	0.85719	-2.826E-06	0.85315	-4.0685E-05	0.41454	-0.00018429	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0703	-0.00069215	0.88863	-0.0018424	0.6615	-0.0011486	0.52586	-0.00085006	0.61596	-7.2059E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0451	-0.00049634	0.93341	-0.0016321	0.7646	-0.0012376	0.64031	-0.002319	0.48744	-0.00064751	1.0558	-0.00060633	0.93848	-0.0016571	0.7644	-0.0012483	0.63532	-0.0026486	0.47923	-0.00068451	NAN	NAN	1.0503	-0.00050667	0.86475	-0.0015959	0.66433	-0.0010654	0.51296	-0.0007181	0.61849	-5.7604E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0654	-0.00048972	0.89005	-0.0018046	0.6718	-0.00084598	0.52754	-0.0005864	NAN	NAN	1.1014	-0.0068939	1.0214	-0.00014563	0.83614	-0.0027122	0.68194	-0.0016588	0.50234	-0.0005793	NAN	NAN	1.0835	-0.00020967	0.88841	-0.00010066	0.98158	-0.00011297	0.76081	-0.00010202	0.85726	-2.8715E-06	0.8531	-4.1241E-05	0.41431	-0.00018365	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0692	-0.0008015	0.88788	-0.0018365	0.66129	-0.0011489	0.52566	-0.00084996	0.61592	-7.2585E-06
B8	11510	4.07	0.23218	-0.00034682	0.13671	-6.5154E-05	0.082784	-1.7585E-05	1.0445	-0.00049818	0.93283	-0.0016295	0.76445	-0.0012381	0.64009	-0.0023236	0.48774	-0.00064723	1.0553	-0.00061102	0.93785	-0.0016548	0.76425	-0.0012488	0.63506	-0.0026533	0.47954	-0.00068716	0.73256	-0.011513	1.0498	-0.00050932	0.86435	-0.0015932	0.66424	-0.0010654	0.51326	-0.0007112	0.61845	-5.7952E-06	0.86756	-0.0020213	0.6679	-0.0011237	0.52479	-0.00055985	0.4271	-0.00023623	0.34346	-6.2409E-05	1.0652	-0.0004942	0.8895	-0.0017976	0.67175	-0.00084542	0.52751	-0.00058544	0.40832	-0.00058394	1.1033	-0.007479	1.0209	-0.00014456	0.83558	-0.0027081	0.68178	-0.001658	0.50266	-0.00057392	0.39498	-0.00058315	1.0836	-0.00020781	0.88843	-0.00010024	0.98147	-0.00011252	0.7608	-0.00010201	0.85721	-3.1032E-06	0.85301	-4.1499E-05	0.41394	-0.00018154	0.32183	-0.00013146	0.22719	-0.00012326	0.13857	-8.2847E-05	0.080142	-2.226E-05	0.41736	0.00059528	0.32741	-0.00012997	0.22671	-0.00014047	0.13732	-7.8262E-05	0.084622	-6.6739E-05	1.0694	-0.00085367	0.88739	-0.0018331	0.66118	-0.001149	0.52583	-0.00084377	0.61587	-7.2116E-06
