#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.22539	-0.00032474	0.13279	-6.1329E-05	0.080211	-1.6479E-05	1.0611	-0.00059003	0.93754	-0.0017725	0.75863	-0.0012858	0.63297	-0.0022971	0.47619	-0.00063536	1.0724	-0.00066547	0.94327	-0.0017966	0.75845	-0.0012968	0.62847	-0.0026032	0.46822	-0.00067509	0.76654	-0.012969	1.066	-0.00059349	0.86433	-0.0017435	0.65526	-0.0011067	0.50177	-0.00071892	0.60658	-5.4886E-06	0.86986	-0.0022558	0.65918	-0.0011774	0.51335	-0.00056463	0.41637	-0.00022794	0.33282	-6.9837E-05	1.0781	-0.00052693	0.8925	-0.002021	0.66231	-0.00088641	0.51608	-0.00058766	0.39938	-0.00054582	1.0941	-0.002279	1.0281	-0.00017141	0.83738	-0.0029142	0.67473	-0.0017447	0.49084	-0.00057937	0.38614	-0.00055217	1.0898	-0.00023557	0.88395	-0.00011209	0.98178	-0.00012714	0.75222	-0.00010795	0.85113	-2.8161E-06	0.8474	-4.1266E-05	0.40327	-0.00018076	0.31196	-0.00012461	0.2201	-0.0001149	0.13465	-7.7823E-05	0.077666	-2.0876E-05	0.40683	0.00031458	0.31737	-0.00012175	0.21969	-0.00013132	0.13345	-7.385E-05	0.08224	-7.4165E-05	1.0776	-0.00049936	0.88953	-0.0020108	0.65238	-0.0011919	0.5148	-0.00085344	0.60417	-7.165E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.0595	-0.00059189	0.93545	-0.0017824	0.75803	-0.001294	0.63144	-0.002309	0.47599	-0.00063541	1.0709	-0.00067022	0.9411	-0.0018094	0.75784	-0.0013052	0.62679	-0.0026181	0.468	-0.00067485	NAN	NAN	1.0645	-0.00059447	0.86245	-0.0017298	0.65436	-0.0011029	0.50147	-0.00071699	0.60658	-5.6022E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0771	-0.00052734	0.89006	-0.0019965	0.6616	-0.00088227	0.51577	-0.00058747	NAN	NAN	1.0961	-0.0029366	1.0271	-0.00017204	0.83489	-0.0028939	0.67354	-0.0017406	0.49063	-0.00057761	NAN	NAN	1.0895	-0.00023317	0.88385	-0.00011204	0.98152	-0.00012667	0.75216	-0.00010755	0.8512	-2.8703E-06	0.84735	-4.1824E-05	0.40306	-0.00018042	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0772	-0.00053947	0.88728	-0.0019994	0.65141	-0.0011874	0.5144	-0.00085139	0.60412	-7.2443E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0591	-0.00059051	0.93529	-0.0017821	0.7579	-0.0012925	0.63163	-0.0023136	0.47592	-0.00063555	1.0705	-0.00067044	0.94093	-0.0018091	0.75771	-0.0013036	0.62698	-0.0026237	0.46792	-0.0006745	NAN	NAN	1.0641	-0.00059334	0.86235	-0.0017289	0.65452	-0.0011043	0.50139	-0.00071787	0.60658	-5.6221E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0768	-0.0005276	0.88992	-0.0019946	0.66174	-0.00088293	0.51575	-0.00058765	NAN	NAN	1.0962	-0.0030189	1.027	-0.00017221	0.83465	-0.0028947	0.67363	-0.0017392	0.49055	-0.00057824	NAN	NAN	1.0894	-0.00023393	0.88385	-0.00011183	0.98149	-0.00012656	0.75215	-0.00010771	0.85122	-2.8817E-06	0.84735	-4.1942E-05	0.40308	-0.00018067	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.077	-0.00054462	0.88715	-0.0019984	0.65157	-0.0011892	0.51433	-0.00085229	0.60411	-7.2628E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0579	-0.00058785	0.93457	-0.0017812	0.75752	-0.0012938	0.63128	-0.0023243	0.47575	-0.00063617	1.0692	-0.00067226	0.94016	-0.001809	0.75733	-0.0013049	0.62657	-0.0026372	0.46773	-0.00067454	NAN	NAN	1.0629	-0.00059125	0.86183	-0.001725	0.65438	-0.0011048	0.5012	-0.00071795	0.60658	-5.662E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.076	-0.00052907	0.8892	-0.0019848	0.66165	-0.00088259	0.5156	-0.00058777	NAN	NAN	1.0972	-0.0034173	1.0266	-0.00017176	0.83378	-0.0028937	0.67328	-0.0017359	0.4904	-0.00057816	NAN	NAN	1.0891	-0.00023448	0.88384	-0.00011117	0.98137	-0.0001262	0.75212	-0.0001078	0.85125	-2.9056E-06	0.84732	-4.2168E-05	0.40299	-0.00018059	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0765	-0.00057106	0.8865	-0.0019935	0.65141	-0.0011898	0.51411	-0.00085238	0.6041	-7.2958E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0568	-0.00058701	0.93404	-0.0017773	0.75731	-0.0012951	0.63098	-0.0023306	0.47564	-0.00063666	1.0682	-0.0006753	0.93958	-0.0018052	0.75711	-0.0013062	0.62623	-0.0026454	0.4676	-0.00067473	NAN	NAN	1.0619	-0.00059087	0.86156	-0.0017236	0.65424	-0.0011046	0.50108	-0.00071785	0.60658	-5.698E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0753	-0.00053136	0.88875	-0.0019781	0.66155	-0.00088189	0.51551	-0.00058787	NAN	NAN	1.0983	-0.0037828	1.0261	-0.0001712	0.83332	-0.0028941	0.67302	-0.0017341	0.4903	-0.00057799	NAN	NAN	1.089	-0.00023446	0.88384	-0.00011063	0.98126	-0.00012568	0.7521	-0.00010781	0.85128	-2.9285E-06	0.84731	-4.2412E-05	0.4029	-0.00018048	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0761	-0.00059635	0.88614	-0.001991	0.65125	-0.0011897	0.51397	-0.00085233	0.60408	-7.3223E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0548	-0.00058314	0.93319	-0.0017733	0.75693	-0.0012985	0.63038	-0.0023424	0.47541	-0.0006378	1.0663	-0.0006788	0.93866	-0.0018014	0.75673	-0.0013097	0.62555	-0.002661	0.46735	-0.00067516	NAN	NAN	1.06	-0.00058826	0.86104	-0.0017201	0.65394	-0.0011041	0.50086	-0.00071788	0.60658	-5.7395E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.074	-0.00053514	0.88797	-0.0019672	0.66133	-0.00088078	0.51533	-0.00058806	NAN	NAN	1.1003	-0.0045191	1.0252	-0.00016941	0.83246	-0.0028938	0.67249	-0.0017305	0.49012	-0.00057797	NAN	NAN	1.0888	-0.00023419	0.88383	-0.00010992	0.98111	-0.00012498	0.75207	-0.00010786	0.85132	-2.9617E-06	0.84728	-4.2801E-05	0.40275	-0.0001802	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0755	-0.00064861	0.88548	-0.0019863	0.65092	-0.0011892	0.5137	-0.00085232	0.60406	-7.3464E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.0519	-0.0005726	0.93195	-0.0017702	0.75642	-0.0013027	0.62962	-0.0023578	0.47513	-0.00063955	1.0633	-0.00067913	0.93733	-0.0017989	0.75622	-0.0013138	0.62468	-0.0026815	0.46701	-0.00067606	NAN	NAN	1.0572	-0.00058003	0.86019	-0.0017127	0.65357	-0.0011036	0.50058	-0.0007179	0.60657	-5.8125E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.072	-0.00053903	0.88678	-0.0019506	0.66106	-0.00087949	0.51512	-0.00058824	NAN	NAN	1.1038	-0.0057831	1.024	-0.00016622	0.83112	-0.0028891	0.67183	-0.0017256	0.48989	-0.00057795	NAN	NAN	1.0884	-0.00023375	0.88379	-0.00010918	0.98094	-0.00012427	0.75202	-0.00010786	0.85137	-3.0118E-06	0.84723	-4.3378E-05	0.40254	-0.00017971	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0745	-0.0007421	0.88441	-0.0019775	0.65052	-0.0011888	0.51337	-0.00085221	0.60402	-7.3898E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0507	-0.00056675	0.93158	-0.0017693	0.75627	-0.0013038	0.62941	-0.0023625	0.47504	-0.00064025	1.0621	-0.00067757	0.93694	-0.0017981	0.75607	-0.0013149	0.62444	-0.0026879	0.46691	-0.00067657	NAN	NAN	1.056	-0.00057528	0.85993	-0.0017104	0.65348	-0.0011035	0.50051	-0.00071784	0.60657	-5.8392E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0712	-0.00054013	0.88642	-0.0019457	0.661	-0.00087911	0.51506	-0.00058828	NAN	NAN	1.1051	-0.0062845	1.0236	-0.00016472	0.83072	-0.0028872	0.67165	-0.0017243	0.48984	-0.00057787	NAN	NAN	1.0882	-0.00023371	0.88377	-0.00010896	0.98089	-0.00012404	0.752	-0.00010785	0.85139	-3.0281E-06	0.84721	-4.3565E-05	0.40246	-0.00017948	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0741	-0.00078046	0.88409	-0.0019748	0.65041	-0.0011888	0.51328	-0.00085213	0.604	-7.4061E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0474	-0.00054708	0.93065	-0.0017657	0.75596	-0.0013056	0.62896	-0.0023743	0.47484	-0.00064212	1.0587	-0.00066979	0.93593	-0.0017947	0.75576	-0.0013167	0.62391	-0.0027044	0.46667	-0.00067806	NAN	NAN	1.0528	-0.00055896	0.85931	-0.0017049	0.65329	-0.0011036	0.50034	-0.00071769	0.60657	-5.9236E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0688	-0.00054248	0.88555	-0.0019333	0.66088	-0.00087821	0.51493	-0.00058838	NAN	NAN	1.1091	-0.007834	1.0224	-0.00016022	0.82978	-0.0028813	0.6713	-0.0017219	0.48971	-0.00057765	NAN	NAN	1.0878	-0.00023373	0.88375	-0.00010829	0.98075	-0.00012333	0.75197	-0.0001078	0.85146	-3.077E-06	0.84716	-4.4159E-05	0.40223	-0.00017884	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0729	-0.00090495	0.88331	-0.0019682	0.6502	-0.001189	0.51308	-0.00085201	0.60396	-7.4602E-06
B8	11510	4.07	0.22479	-0.00032413	0.13244	-6.1194E-05	0.080168	-1.6516E-05	1.0468	-0.00054899	0.93004	-0.0017628	0.75581	-0.0013061	0.62872	-0.0023788	0.47514	-0.00064183	1.0581	-0.00067487	0.93528	-0.001792	0.7556	-0.0013172	0.62365	-0.002709	0.46697	-0.00068067	0.72329	-0.011778	1.0523	-0.00056179	0.8589	-0.0017018	0.65319	-0.0011036	0.50065	-0.00071086	0.60653	-5.9594E-06	0.86224	-0.0021566	0.65694	-0.0011649	0.51217	-0.00056178	0.41487	-0.00023087	0.33269	-6.0027E-05	1.0686	-0.00054742	0.88498	-0.0019257	0.66083	-0.00087763	0.5149	-0.00058742	0.39638	-0.00056397	1.1111	-0.0084817	1.0219	-0.00015903	0.8292	-0.0028766	0.67114	-0.001721	0.49002	-0.00057232	0.38324	-0.00056129	1.088	-0.00023167	0.88377	-0.00010784	0.98064	-0.00012284	0.75196	-0.00010779	0.85141	-3.3252E-06	0.84707	-4.4434E-05	0.40186	-0.00017679	0.31162	-0.00012442	0.21996	-0.00011508	0.13424	-7.7802E-05	0.077608	-2.0902E-05	0.40541	0.0005298	0.31705	-0.00012297	0.2195	-0.00013119	0.13303	-7.3517E-05	0.081954	-6.344E-05	1.0732	-0.00096446	0.8828	-0.0019644	0.65009	-0.0011892	0.51325	-0.00084585	0.60391	-7.4119E-06
