#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.18361	-0.00021056	0.10864	-4.125E-05	0.065454	-1.1088E-05	1.0765	-0.00092797	0.92392	-0.0026323	0.71074	-0.0017066	0.56943	-0.0026282	0.40517	-0.00060745	1.0909	-0.0010594	0.93096	-0.002682	0.71053	-0.0017207	0.56461	-0.0029391	0.39739	-0.00064125	0.71906	-0.01492	1.0826	-0.00093661	0.83512	-0.0024411	0.59342	-0.0013391	0.4307	-0.00071838	0.53952	-6.3934E-06	0.84171	-0.0031358	0.59778	-0.00143	0.44227	-0.00057688	0.34734	-0.00019955	0.27209	-5.7822E-05	1.0981	-0.0008445	0.86895	-0.0028592	0.60112	-0.0010837	0.44505	-0.00060023	0.33179	-0.0004456	1.1268	-0.0048303	1.0349	-0.00026606	0.80333	-0.0039884	0.61535	-0.0021333	0.41966	-0.0005713	0.31969	-0.00044053	1.1129	-0.00038651	0.85832	-0.0001619	0.97756	-0.00019281	0.70277	-0.00014408	0.81894	-4.0055E-06	0.81451	-5.8549E-05	0.3351	-0.00015475	0.25436	-8.8444E-05	0.17934	-7.4062E-05	0.11016	-5.2297E-05	0.063369	-1.4024E-05	0.33881	0.00012988	0.25893	-8.6655E-05	0.17901	-8.4906E-05	0.10918	-4.9742E-05	0.067138	-5.3598E-05	1.0978	-0.0008586	0.86547	-0.0028569	0.59028	-0.0014359	0.44396	-0.00086742	0.53692	-8.3222E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.0745	-0.00092904	0.92135	-0.0026416	0.71004	-0.0017165	0.56776	-0.0026372	0.40497	-0.00060736	1.089	-0.001065	0.92829	-0.0026952	0.70983	-0.0017308	0.56279	-0.0029501	0.39717	-0.00064086	NAN	NAN	1.0808	-0.00093644	0.83286	-0.0024174	0.59242	-0.0013335	0.4304	-0.00071632	0.53951	-6.5257E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0968	-0.00084425	0.86599	-0.0028186	0.60032	-0.001078	0.44474	-0.00059992	NAN	NAN	1.1315	-0.0061645	1.0337	-0.00026672	0.80036	-0.0039523	0.61402	-0.0021261	0.41944	-0.00056949	NAN	NAN	1.1124	-0.00038236	0.8582	-0.00016182	0.97723	-0.00019213	0.70271	-0.00014354	0.81904	-4.0831E-06	0.81446	-5.9336E-05	0.33491	-0.00015445	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0975	-0.00094369	0.86275	-0.0028342	0.5892	-0.0014293	0.44355	-0.00086512	0.53686	-8.414E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.074	-0.00092635	0.92116	-0.0026407	0.70989	-0.0017142	0.56797	-0.0026428	0.4049	-0.00060748	1.0885	-0.0010647	0.92809	-0.0026945	0.70968	-0.0017284	0.563	-0.0029567	0.3971	-0.00064052	NAN	NAN	1.0803	-0.00093413	0.83274	-0.0024161	0.5926	-0.0013353	0.43032	-0.00071714	0.53952	-6.549E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0965	-0.00084426	0.86581	-0.0028156	0.60048	-0.001079	0.44472	-0.00060008	NAN	NAN	1.1319	-0.0063257	1.0336	-0.00026697	0.80007	-0.0039524	0.61412	-0.0021246	0.41937	-0.00057007	NAN	NAN	1.1123	-0.00038356	0.8582	-0.00016153	0.97719	-0.00019195	0.70269	-0.00014376	0.81905	-4.0995E-06	0.81445	-5.9504E-05	0.33493	-0.00015467	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0972	-0.0009541	0.86258	-0.0028324	0.58938	-0.0014315	0.44349	-0.00086596	0.53686	-8.4356E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0724	-0.00092055	0.92027	-0.0026376	0.70945	-0.0017153	0.56759	-0.0026536	0.40473	-0.00060798	1.0868	-0.0010656	0.92714	-0.0026923	0.70923	-0.0017295	0.56256	-0.0029702	0.39691	-0.00064046	NAN	NAN	1.0787	-0.00092922	0.83212	-0.0024095	0.59244	-0.0013358	0.43013	-0.00071712	0.53952	-6.5954E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0953	-0.00084553	0.86494	-0.0028004	0.60038	-0.0010784	0.44457	-0.00060014	NAN	NAN	1.1343	-0.0071011	1.033	-0.00026613	0.79903	-0.0039479	0.61372	-0.00212	0.41921	-0.00056992	NAN	NAN	1.112	-0.00038434	0.85818	-0.00016057	0.97705	-0.00019141	0.70266	-0.00014388	0.81909	-4.1336E-06	0.81443	-5.9822E-05	0.33484	-0.0001546	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0967	-0.0010085	0.8618	-0.0028238	0.5892	-0.0014321	0.44327	-0.00086591	0.53684	-8.4738E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.071	-0.00091784	0.91962	-0.002631	0.7092	-0.0017167	0.56727	-0.0026597	0.40462	-0.00060838	1.0855	-0.0010688	0.92643	-0.0026856	0.70898	-0.0017309	0.56219	-0.0029779	0.39679	-0.00064056	NAN	NAN	1.0774	-0.0009273	0.83179	-0.002407	0.59228	-0.0013354	0.43001	-0.00071697	0.53952	-6.6373E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0945	-0.00084838	0.8644	-0.0027901	0.60026	-0.0010775	0.44448	-0.00060021	NAN	NAN	1.1366	-0.0077992	1.0323	-0.00026512	0.79848	-0.0039467	0.61343	-0.0021174	0.41912	-0.00056972	NAN	NAN	1.1118	-0.00038422	0.85818	-0.00015979	0.97691	-0.00019063	0.70264	-0.00014389	0.81912	-4.1664E-06	0.81441	-6.0167E-05	0.33476	-0.0001545	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0963	-0.0010604	0.86136	-0.0028194	0.58902	-0.0014317	0.44312	-0.00086577	0.53682	-8.5045E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0685	-0.00090929	0.91858	-0.0026234	0.70877	-0.0017205	0.56662	-0.0026709	0.4044	-0.00060934	1.0831	-0.0010713	0.9253	-0.002678	0.70855	-0.0017347	0.56146	-0.0029925	0.39654	-0.00064084	NAN	NAN	1.075	-0.00092075	0.83116	-0.002401	0.59195	-0.0013344	0.42978	-0.00071688	0.53952	-6.6856E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0928	-0.00085286	0.86346	-0.0027733	0.60002	-0.0010759	0.4443	-0.00060032	NAN	NAN	1.141	-0.0091641	1.0313	-0.00026213	0.79745	-0.0039432	0.61285	-0.002112	0.41893	-0.00056963	NAN	NAN	1.1115	-0.00038364	0.85817	-0.00015877	0.97673	-0.0001896	0.7026	-0.00014395	0.81917	-4.2139E-06	0.81438	-6.0716E-05	0.33462	-0.00015426	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0957	-0.0011675	0.86056	-0.0028111	0.58866	-0.0014307	0.44285	-0.00086557	0.5368	-8.5324E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.0648	-0.00088929	0.91707	-0.0026161	0.70818	-0.0017251	0.5658	-0.0026856	0.40412	-0.00061084	1.0793	-0.0010673	0.92368	-0.0026714	0.70795	-0.0017393	0.56052	-0.0030117	0.39622	-0.00064151	NAN	NAN	1.0715	-0.00090432	0.83014	-0.0023889	0.59154	-0.0013333	0.42951	-0.00071674	0.53951	-6.7707E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0903	-0.00085662	0.86201	-0.0027476	0.59972	-0.0010741	0.44408	-0.0006004	NAN	NAN	1.1478	-0.011392	1.0298	-0.00025692	0.79585	-0.003932	0.6121	-0.002105	0.41871	-0.00056952	NAN	NAN	1.111	-0.00038272	0.85812	-0.0001577	0.97652	-0.00018854	0.70254	-0.00014394	0.81924	-4.2854E-06	0.81431	-6.1527E-05	0.33443	-0.00015383	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0948	-0.0013584	0.85926	-0.0027959	0.58822	-0.0014298	0.44252	-0.00086523	0.53675	-8.5826E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0633	-0.00087884	0.91662	-0.002614	0.708	-0.0017263	0.56557	-0.0026901	0.40404	-0.00061145	1.0778	-0.001063	0.9232	-0.0026693	0.70777	-0.0017405	0.56026	-0.0030178	0.39612	-0.00064193	NAN	NAN	1.0701	-0.00089551	0.82983	-0.0023851	0.59144	-0.0013331	0.42944	-0.00071665	0.53951	-6.8018E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0892	-0.00085731	0.86158	-0.0027399	0.59965	-0.0010736	0.44402	-0.00060041	NAN	NAN	1.1502	-0.012239	1.0293	-0.00025451	0.79538	-0.0039281	0.61191	-0.002103	0.41866	-0.00056942	NAN	NAN	1.1108	-0.00038258	0.85811	-0.00015738	0.97645	-0.0001882	0.70252	-0.00014393	0.81926	-4.3088E-06	0.81429	-6.179E-05	0.33436	-0.00015362	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0944	-0.0014361	0.85887	-0.0027913	0.5881	-0.0014296	0.44243	-0.00086509	0.53674	-8.6014E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0592	-0.00084466	0.91548	-0.0026068	0.70765	-0.0017281	0.56508	-0.0027016	0.40384	-0.00061308	1.0734	-0.0010456	0.92196	-0.0026622	0.70741	-0.0017423	0.55969	-0.0030335	0.39588	-0.00064317	NAN	NAN	1.066	-0.00086627	0.82909	-0.0023761	0.59123	-0.0013329	0.42927	-0.00071642	0.53951	-6.9001E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0862	-0.00085798	0.86052	-0.0027208	0.59952	-0.0010724	0.44389	-0.00060045	NAN	NAN	1.1569	-0.014739	1.0278	-0.00024733	0.79426	-0.003917	0.61151	-0.0020995	0.41853	-0.00056916	NAN	NAN	1.1103	-0.00038239	0.85808	-0.00015642	0.97628	-0.00018715	0.70248	-0.00014387	0.81934	-4.3787E-06	0.81423	-6.2627E-05	0.33414	-0.00015307	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0934	-0.0016866	0.85793	-0.00278	0.58786	-0.0014296	0.44222	-0.00086483	0.5367	-8.664E-06
B8	11510	4.07	0.18312	-0.00021023	0.10835	-4.1174E-05	0.065419	-1.1114E-05	1.0584	-0.00084683	0.91474	-0.0026014	0.70747	-0.0017285	0.56483	-0.0027061	0.40414	-0.00061273	1.0727	-0.0010527	0.92116	-0.0026568	0.70724	-0.0017427	0.55941	-0.0030379	0.39618	-0.00064553	0.67048	-0.013248	1.0653	-0.00086996	0.8286	-0.002371	0.59113	-0.0013328	0.42957	-0.00070989	0.53946	-6.9416E-06	0.83252	-0.0029789	0.59529	-0.001412	0.44108	-0.0005735	0.34594	-0.00020196	0.27196	-4.7727E-05	1.0859	-0.00086562	0.85983	-0.0027091	0.59947	-0.0010716	0.44386	-0.0005995	0.32905	-0.00045932	1.16	-0.01575	1.0271	-0.00024539	0.79357	-0.0039087	0.61133	-0.0020981	0.41884	-0.00056411	0.31707	-0.00044698	1.1105	-0.00037911	0.8581	-0.00015577	0.97614	-0.0001864	0.70247	-0.00014384	0.81928	-4.7318E-06	0.81412	-6.3006E-05	0.3338	-0.00015128	0.25408	-8.8335E-05	0.17923	-7.4181E-05	0.10982	-5.2305E-05	0.063321	-1.4042E-05	0.3377	0.00025214	0.25865	-8.7397E-05	0.17886	-8.4762E-05	0.10884	-4.9516E-05	0.066899	-4.5667E-05	1.0939	-0.0018069	0.85731	-0.0027734	0.58774	-0.0014296	0.44238	-0.00085886	0.53664	-8.6076E-06
