#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.22136	-0.00031265	0.13046	-5.9218E-05	0.078786	-1.5912E-05	1.0624	-0.00061633	0.93629	-0.0018457	0.75412	-0.0013245	0.62692	-0.0023298	0.46936	-0.00063293	1.074	-0.00069634	0.94214	-0.0018716	0.75393	-0.0013359	0.62237	-0.0026366	0.4614	-0.00067209	0.76212	-0.013165	1.0674	-0.00062034	0.86162	-0.0018061	0.64938	-0.001129	0.49494	-0.00071925	0.60017	-5.5766E-06	0.86726	-0.0023351	0.65333	-0.0012016	0.50652	-0.00056613	0.40971	-0.0002252	0.32695	-6.8607E-05	1.0798	-0.00055191	0.89034	-0.0020953	0.65649	-0.00090527	0.50926	-0.0005892	0.39286	-0.00053577	1.0967	-0.0024511	1.0287	-0.00017858	0.83421	-0.0030121	0.66909	-0.0017819	0.484	-0.00057889	0.37973	-0.00054091	1.0917	-0.00024742	0.8816	-0.00011645	0.98141	-0.00013244	0.74755	-0.00011127	0.84814	-2.9214E-06	0.84434	-4.2801E-05	0.3967	-0.00017822	0.3064	-0.00012086	0.21616	-0.00011057	0.13229	-7.5139E-05	0.076286	-2.0155E-05	0.40029	0.00029237	0.31173	-0.0001181	0.21576	-0.0001264	0.1311	-7.1318E-05	0.080782	-7.2113E-05	1.0793	-0.00052584	0.88731	-0.0020859	0.64647	-0.0012154	0.50799	-0.00085526	0.59774	-7.2778E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.0608	-0.00061812	0.93415	-0.0018557	0.75351	-0.0013329	0.62537	-0.0023414	0.46916	-0.00063298	1.0724	-0.00070113	0.93992	-0.0018846	0.75331	-0.0013444	0.62069	-0.0026511	0.46118	-0.00067183	NAN	NAN	1.0659	-0.00062121	0.85971	-0.0017915	0.64846	-0.0011251	0.49464	-0.00071731	0.60017	-5.6921E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0788	-0.00055224	0.88785	-0.0020696	0.65576	-0.00090098	0.50895	-0.000589	NAN	NAN	1.0988	-0.0031572	1.0277	-0.00017921	0.83168	-0.0029906	0.66789	-0.0017775	0.48378	-0.00057712	NAN	NAN	1.0914	-0.00024488	0.88149	-0.00011639	0.98114	-0.00013196	0.7475	-0.00011085	0.84822	-2.9777E-06	0.8443	-4.3379E-05	0.39649	-0.00017788	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0789	-0.00056891	0.88502	-0.0020736	0.64548	-0.0012107	0.5076	-0.00085318	0.59769	-7.3583E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0604	-0.00061664	0.934	-0.0018553	0.75338	-0.0013313	0.62555	-0.0023461	0.46908	-0.00063311	1.072	-0.00070132	0.93975	-0.0018843	0.75318	-0.0013427	0.62087	-0.0026568	0.4611	-0.00067148	NAN	NAN	1.0655	-0.00061999	0.8596	-0.0017907	0.64862	-0.0011265	0.49456	-0.00071818	0.60017	-5.7124E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0785	-0.00055248	0.8877	-0.0020675	0.65591	-0.00090167	0.50893	-0.00058918	NAN	NAN	1.099	-0.0032454	1.0276	-0.0001794	0.83143	-0.0029913	0.66797	-0.0017762	0.48371	-0.00057775	NAN	NAN	1.0913	-0.00024567	0.88149	-0.00011618	0.98111	-0.00013184	0.74749	-0.00011102	0.84824	-2.9896E-06	0.84429	-4.3502E-05	0.39651	-0.00017813	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0787	-0.0005744	0.88488	-0.0020724	0.64565	-0.0012125	0.50753	-0.00085407	0.59768	-7.3772E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0591	-0.00061375	0.93325	-0.0018543	0.75299	-0.0013326	0.62521	-0.0023569	0.46891	-0.00063372	1.0707	-0.00070307	0.93897	-0.001884	0.75279	-0.001344	0.62047	-0.0026704	0.46091	-0.00067152	NAN	NAN	1.0642	-0.00061768	0.85908	-0.0017865	0.64848	-0.001127	0.49437	-0.00071825	0.60017	-5.7529E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0776	-0.00055393	0.88696	-0.0020573	0.65582	-0.00090131	0.50878	-0.00058929	NAN	NAN	1.1001	-0.0036717	1.0271	-0.00017892	0.83055	-0.0029901	0.66762	-0.0017727	0.48355	-0.00057766	NAN	NAN	1.0911	-0.00024625	0.88148	-0.00011549	0.98099	-0.00013147	0.74746	-0.00011112	0.84827	-3.0143E-06	0.84427	-4.3736E-05	0.39641	-0.00017806	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0782	-0.00060271	0.88422	-0.0020673	0.64549	-0.0012131	0.50731	-0.00085416	0.59767	-7.4106E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.058	-0.00061277	0.93272	-0.0018503	0.75277	-0.001334	0.6249	-0.0023631	0.46881	-0.0006342	1.0697	-0.00070613	0.93838	-0.00188	0.75258	-0.0013454	0.62012	-0.0026786	0.46079	-0.00067169	NAN	NAN	1.0632	-0.00061719	0.8588	-0.0017851	0.64833	-0.0011268	0.49425	-0.00071815	0.60017	-5.7894E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0769	-0.00055626	0.88651	-0.0020503	0.65572	-0.00090059	0.50869	-0.00058939	NAN	NAN	1.1012	-0.0040625	1.0266	-0.00017833	0.83008	-0.0029903	0.66735	-0.0017709	0.48346	-0.00057749	NAN	NAN	1.0909	-0.00024621	0.88148	-0.00011492	0.98088	-0.00013092	0.74744	-0.00011113	0.8483	-3.0382E-06	0.84425	-4.3989E-05	0.39633	-0.00017794	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0778	-0.00062978	0.88386	-0.0020646	0.64532	-0.001213	0.50717	-0.0008541	0.59765	-7.4376E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.056	-0.00060855	0.93185	-0.001846	0.75239	-0.0013374	0.6243	-0.0023749	0.46858	-0.00063532	1.0677	-0.00070956	0.93743	-0.001876	0.75219	-0.0013488	0.61944	-0.0026941	0.46053	-0.00067211	NAN	NAN	1.0613	-0.00061427	0.85827	-0.0017814	0.64804	-0.0011262	0.49403	-0.00071817	0.60017	-5.8316E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0756	-0.00056008	0.88571	-0.0020389	0.65549	-0.00089943	0.50851	-0.00058957	NAN	NAN	1.1035	-0.0048476	1.0257	-0.00017646	0.8292	-0.0029898	0.66682	-0.0017671	0.48327	-0.00057746	NAN	NAN	1.0907	-0.00024591	0.88147	-0.00011419	0.98072	-0.0001302	0.74741	-0.00011117	0.84833	-3.0726E-06	0.84423	-4.4392E-05	0.39618	-0.00017767	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0772	-0.00068571	0.88318	-0.0020597	0.64499	-0.0012124	0.5069	-0.00085406	0.59763	-7.4621E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.053	-0.00059729	0.93058	-0.0018426	0.75187	-0.0013417	0.62353	-0.0023902	0.4683	-0.00063705	1.0647	-0.00070955	0.93608	-0.0018733	0.75166	-0.0013531	0.61856	-0.0027144	0.4602	-0.00067299	NAN	NAN	1.0584	-0.00060542	0.8574	-0.0017736	0.64766	-0.0011257	0.49375	-0.00071817	0.60016	-5.9058E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0736	-0.00056395	0.88449	-0.0020216	0.65523	-0.0008981	0.50829	-0.00058974	NAN	NAN	1.1073	-0.0061901	1.0245	-0.00017312	0.82783	-0.0029845	0.66615	-0.001762	0.48305	-0.00057743	NAN	NAN	1.0903	-0.00024543	0.88143	-0.00011342	0.98055	-0.00012947	0.74735	-0.00011117	0.84839	-3.1246E-06	0.84417	-4.499E-05	0.39598	-0.00017719	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0762	-0.00078577	0.88209	-0.0020504	0.64458	-0.001212	0.50657	-0.00085393	0.59759	-7.5061E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0518	-0.00059109	0.93021	-0.0018416	0.75172	-0.0013427	0.62332	-0.0023949	0.46821	-0.00063774	1.0634	-0.00070779	0.93568	-0.0018724	0.75151	-0.0013542	0.61832	-0.0027209	0.4601	-0.00067349	NAN	NAN	1.0572	-0.00060036	0.85714	-0.0017711	0.64757	-0.0011256	0.49368	-0.0007181	0.60016	-5.9329E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0727	-0.00056501	0.88413	-0.0020164	0.65516	-0.0008977	0.50823	-0.00058978	NAN	NAN	1.1087	-0.0067207	1.0241	-0.00017155	0.82743	-0.0029825	0.66597	-0.0017606	0.48299	-0.00057735	NAN	NAN	1.0901	-0.00024539	0.88141	-0.00011319	0.9805	-0.00012923	0.74734	-0.00011116	0.84842	-3.1416E-06	0.84416	-4.5183E-05	0.39589	-0.00017695	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0758	-0.0008268	0.88176	-0.0020475	0.64448	-0.001212	0.50648	-0.00085385	0.59757	-7.5226E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0484	-0.00057032	0.92926	-0.0018378	0.75141	-0.0013445	0.62286	-0.0024067	0.46801	-0.00063959	1.0599	-0.00069929	0.93465	-0.0018687	0.7512	-0.001356	0.61778	-0.0027372	0.45985	-0.00067496	NAN	NAN	1.054	-0.00058305	0.85651	-0.0017653	0.64738	-0.0011256	0.49351	-0.00071795	0.60016	-6.0187E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0703	-0.00056723	0.88324	-0.0020035	0.65504	-0.00089678	0.5081	-0.00058988	NAN	NAN	1.1129	-0.0083543	1.0229	-0.00016686	0.82647	-0.0029762	0.66562	-0.0017581	0.48286	-0.00057712	NAN	NAN	1.0897	-0.00024538	0.88139	-0.0001125	0.98035	-0.00012849	0.7473	-0.00011112	0.84848	-3.1923E-06	0.84411	-4.5799E-05	0.39566	-0.00017633	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0746	-0.0009599	0.88097	-0.0020405	0.64426	-0.0012122	0.50628	-0.00085371	0.59753	-7.5775E-06
B8	11510	4.07	0.22077	-0.00031207	0.13012	-5.909E-05	0.078743	-1.5948E-05	1.0477	-0.00057227	0.92864	-0.0018347	0.75125	-0.001345	0.62263	-0.0024112	0.46831	-0.00063929	1.0593	-0.00070453	0.93398	-0.0018658	0.75104	-0.0013565	0.61752	-0.0027418	0.46016	-0.00067754	0.71833	-0.011927	1.0534	-0.00058596	0.8561	-0.0017621	0.64728	-0.0011256	0.49381	-0.00071114	0.60012	-6.055E-06	0.85949	-0.002231	0.65107	-0.0011886	0.50534	-0.00056322	0.40823	-0.00022808	0.32682	-5.8766E-05	1.0701	-0.00057238	0.88266	-0.0019955	0.65499	-0.00089617	0.50807	-0.00058892	0.38988	-0.00055347	1.1151	-0.0090352	1.0223	-0.00016562	0.82589	-0.0029711	0.66545	-0.0017572	0.48318	-0.00057182	0.37686	-0.00054976	1.0899	-0.00024322	0.88141	-0.00011203	0.98024	-0.00012798	0.74729	-0.0001111	0.84843	-3.4498E-06	0.84401	-4.6084E-05	0.3953	-0.0001743	0.30606	-0.00012068	0.21603	-0.00011074	0.13188	-7.5122E-05	0.076228	-2.0181E-05	0.39891	0.00049652	0.31141	-0.00011926	0.21558	-0.00012626	0.1307	-7.0996E-05	0.0805	-6.166E-05	1.0749	-0.0010236	0.88045	-0.0020365	0.64415	-0.0012123	0.50644	-0.00084757	0.59748	-7.5285E-06
