#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.12998	-9.9729E-05	0.077651	-2.1279E-05	0.046517	-5.7252E-06	1.114	-0.0020143	0.90186	-0.0041002	0.64536	-0.0022445	0.48643	-0.0030263	0.31386	-0.0005702	1.1356	-0.0023027	0.91103	-0.0042264	0.64512	-0.0022625	0.48124	-0.0033381	0.30635	-0.00059684	0.65285	-0.017072	1.1231	-0.0020251	0.79128	-0.0033925	0.51237	-0.0016278	0.33924	-0.00071298	0.45253	-7.5228E-06	0.79936	-0.0043416	0.51723	-0.0017423	0.35076	-0.0005881	0.25871	-0.00016562	0.19417	-4.4995E-05	1.1465	-0.0018399	0.83261	-0.0040856	0.52081	-0.0013298	0.35359	-0.00061166	0.24503	-0.00033402	1.2176	-0.013453	1.0515	-0.00058678	0.75368	-0.0053821	0.53702	-0.0026099	0.3281	-0.00055774	0.2344	-0.0003176	1.1699	-0.00085946	0.81822	-0.00023579	0.96952	-0.00035113	0.63572	-0.00018992	0.77099	-5.6313E-06	0.76577	-8.1991E-05	0.2476	-0.00012417	0.18045	-5.1104E-05	0.12702	-3.4661E-05	0.078739	-2.6924E-05	0.045022	-7.2185E-06	0.2511	1.7529E-06	0.18392	-5.0713E-05	0.12681	-4.0052E-05	0.078033	-2.572E-05	0.047736	-3.0123E-05	1.1485	-0.0021103	0.82835	-0.0040773	0.50892	-0.0017381	0.35273	-0.00087883	0.44971	-9.7645E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.111	-0.0020119	0.89855	-0.0040961	0.64456	-0.0022566	0.48461	-0.0030311	0.31367	-0.00056993	1.1327	-0.0023126	0.90757	-0.0042263	0.64432	-0.0022747	0.47926	-0.0033438	0.30614	-0.00059627	NAN	NAN	1.1203	-0.0020221	0.78855	-0.003352	0.51126	-0.0016197	0.33894	-0.00071079	0.45253	-7.6784E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1447	-0.0018412	0.82894	-0.0040144	0.51992	-0.0013219	0.35328	-0.0006112	NAN	NAN	1.2286	-0.016429	1.0496	-0.00058564	0.75013	-0.0053213	0.53553	-0.0025985	0.32788	-0.00055589	NAN	NAN	1.1693	-0.00085002	0.81807	-0.00023564	0.96908	-0.00034953	0.63565	-0.00018919	0.7711	-5.7412E-06	0.76571	-8.3087E-05	0.24743	-0.00012391	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1486	-0.0023676	0.82499	-0.0040318	0.50772	-0.0017287	0.35232	-0.00087624	0.44965	-9.8719E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.1102	-0.0020043	0.89831	-0.0040935	0.64439	-0.0022532	0.48483	-0.0030379	0.3136	-0.00057004	1.1319	-0.00231	0.90731	-0.0042237	0.64414	-0.0022712	0.47948	-0.0033517	0.30607	-0.00059595	NAN	NAN	1.1195	-0.0020154	0.78839	-0.0033497	0.51145	-0.0016221	0.33886	-0.00071154	0.45253	-7.7059E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1441	-0.0018402	0.82872	-0.0040093	0.5201	-0.0013233	0.35325	-0.00061135	NAN	NAN	1.2295	-0.016761	1.0495	-0.00058594	0.74978	-0.0053199	0.53563	-0.0025969	0.32781	-0.0005564	NAN	NAN	1.1691	-0.00085284	0.81807	-0.00023522	0.96903	-0.00034917	0.63564	-0.00018949	0.77113	-5.7643E-06	0.7657	-8.3321E-05	0.24745	-0.00012408	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1483	-0.0023968	0.82478	-0.0040285	0.50793	-0.0017317	0.35225	-0.00087701	0.44965	-9.8972E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.1077	-0.0019863	0.89716	-0.0040829	0.64388	-0.0022538	0.48443	-0.0030488	0.31343	-0.00057039	1.1294	-0.0023069	0.90608	-0.0042135	0.64363	-0.0022718	0.47902	-0.0033647	0.30589	-0.00059578	NAN	NAN	1.1171	-0.0020003	0.78764	-0.0033385	0.51128	-0.0016225	0.33867	-0.00071139	0.45253	-7.7605E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1424	-0.0018415	0.82764	-0.0039842	0.51999	-0.0013225	0.35311	-0.00061134	NAN	NAN	1.2346	-0.018337	1.0486	-0.00058292	0.74854	-0.0053091	0.53519	-0.0025906	0.32765	-0.00055617	NAN	NAN	1.1686	-0.00085494	0.81806	-0.00023383	0.96883	-0.00034803	0.63559	-0.00018965	0.77117	-5.8127E-06	0.76567	-8.3763E-05	0.24737	-0.00012403	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1478	-0.0025536	0.82382	-0.0040128	0.50773	-0.0017321	0.35203	-0.00087678	0.44963	-9.9418E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.1056	-0.0019756	0.89632	-0.0040688	0.6436	-0.0022552	0.48407	-0.0030544	0.31333	-0.00057069	1.1274	-0.0023096	0.90516	-0.0041983	0.64334	-0.0022732	0.47861	-0.0033717	0.30577	-0.00059579	NAN	NAN	1.1152	-0.0019923	0.78725	-0.003334	0.5111	-0.0016217	0.33855	-0.00071117	0.45253	-7.8098E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1411	-0.001847	0.82698	-0.0039675	0.51986	-0.0013213	0.35301	-0.00061135	NAN	NAN	1.239	-0.019698	1.0476	-0.00057947	0.74788	-0.005305	0.53486	-0.0025869	0.32756	-0.00055593	NAN	NAN	1.1684	-0.00085483	0.81806	-0.0002327	0.96865	-0.00034647	0.63557	-0.00018966	0.77121	-5.8591E-06	0.76564	-8.4242E-05	0.2473	-0.00012394	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1476	-0.0027022	0.82328	-0.0040047	0.50753	-0.0017314	0.35189	-0.00087653	0.44961	-9.9778E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.1018	-0.0019483	0.89498	-0.0040506	0.6431	-0.0022594	0.48337	-0.0030647	0.31312	-0.00057143	1.1236	-0.0023067	0.90368	-0.0041789	0.64284	-0.0022774	0.47782	-0.0033847	0.30553	-0.00059587	NAN	NAN	1.1115	-0.0019709	0.78649	-0.0033236	0.51074	-0.0016201	0.33833	-0.00071093	0.45253	-7.8666E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1386	-0.001855	0.82581	-0.0039399	0.51959	-0.0013191	0.35283	-0.00061136	NAN	NAN	1.2467	-0.022205	1.046	-0.00057088	0.74666	-0.0052956	0.53421	-0.0025793	0.32738	-0.00055576	NAN	NAN	1.1679	-0.00085392	0.81804	-0.00023122	0.96839	-0.00034439	0.63553	-0.00018973	0.77126	-5.9262E-06	0.76561	-8.5006E-05	0.24717	-0.00012373	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1473	-0.0030051	0.8223	-0.0039894	0.50714	-0.0017297	0.35161	-0.0008761	0.44958	-1.001E-05
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.0961	-0.0018927	0.89303	-0.0040299	0.64241	-0.0022644	0.48247	-0.0030782	0.31285	-0.00057263	1.1179	-0.0022844	0.90158	-0.0041576	0.64215	-0.0022823	0.4768	-0.0034019	0.30522	-0.00059627	NAN	NAN	1.1061	-0.0019247	0.78526	-0.0033036	0.51029	-0.0016183	0.33805	-0.00071062	0.45252	-7.9667E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1347	-0.0018595	0.82402	-0.0038976	0.51926	-0.0013166	0.35261	-0.00061132	NAN	NAN	1.2569	-0.02593	1.0438	-0.00055684	0.74475	-0.0052738	0.53338	-0.0025694	0.32716	-0.00055555	NAN	NAN	1.1671	-0.00085242	0.81798	-0.00022965	0.9681	-0.00034225	0.63546	-0.00018973	0.77134	-6.0274E-06	0.76553	-8.6132E-05	0.247	-0.00012338	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1471	-0.0035339	0.82069	-0.0039622	0.50664	-0.0017279	0.35127	-0.00087549	0.44953	-1.0069E-05
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0939	-0.0018654	0.89245	-0.0040237	0.64221	-0.0022656	0.48222	-0.0030824	0.31277	-0.00057312	1.1156	-0.0022695	0.90096	-0.0041511	0.64195	-0.0022835	0.47652	-0.0034074	0.30513	-0.00059658	NAN	NAN	1.1039	-0.0019015	0.78488	-0.0032974	0.51017	-0.0016179	0.33798	-0.00071048	0.45252	-8.0032E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1331	-0.001859	0.8235	-0.0038851	0.51917	-0.0013158	0.35255	-0.0006113	NAN	NAN	1.26	-0.027239	1.043	-0.00055071	0.74418	-0.0052666	0.53315	-0.0025667	0.3271	-0.00055543	NAN	NAN	1.1668	-0.0008523	0.81796	-0.00022918	0.96802	-0.00034157	0.63544	-0.0001897	0.77137	-6.0605E-06	0.76551	-8.6497E-05	0.24693	-0.00012321	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.147	-0.0037438	0.82022	-0.0039539	0.50651	-0.0017275	0.35118	-0.00087527	0.44952	-1.0091E-05
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0876	-0.0017792	0.89099	-0.0040058	0.6418	-0.0022673	0.48169	-0.0030933	0.31258	-0.00057446	1.1089	-0.0022151	0.89936	-0.0041319	0.64154	-0.0022853	0.4759	-0.003422	0.3049	-0.00059752	NAN	NAN	1.0978	-0.0018266	0.78398	-0.0032826	0.50993	-0.0016174	0.33781	-0.00071016	0.45252	-8.1189E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1285	-0.0018536	0.82219	-0.003854	0.51903	-0.0013142	0.35241	-0.00061127	NAN	NAN	1.267	-0.030832	1.0408	-0.00053272	0.74285	-0.0052472	0.53271	-0.0025616	0.32697	-0.00055511	NAN	NAN	1.1661	-0.00085241	0.81793	-0.00022777	0.96778	-0.00033947	0.63539	-0.00018962	0.77146	-6.1595E-06	0.76544	-8.7659E-05	0.24674	-0.00012276	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1468	-0.0044051	0.81905	-0.0039338	0.50624	-0.0017272	0.35098	-0.00087484	0.44947	-1.0164E-05
B8	11510	4.07	0.12965	-9.9607E-05	0.077446	-2.125E-05	0.046492	-5.7384E-06	1.0864	-0.0017802	0.89003	-0.0039931	0.6416	-0.0022676	0.48142	-0.0030975	0.31286	-0.00057405	1.1078	-0.002227	0.89831	-0.0041185	0.64133	-0.0022855	0.4756	-0.0034259	0.30519	-0.00059958	0.59839	-0.01483	1.0967	-0.0018317	0.78339	-0.003274	0.50982	-0.0016171	0.3381	-0.00070405	0.45247	-8.1675E-06	0.78818	-0.0040897	0.51445	-0.0017172	0.34955	-0.00058408	0.25745	-0.00016742	0.19403	-3.464E-05	1.1281	-0.0018706	0.82134	-0.0038348	0.51897	-0.0013132	0.35238	-0.00061033	0.24263	-0.00034288	1.2702	-0.032228	1.0399	-0.00052744	0.74203	-0.0052332	0.53251	-0.0025597	0.32728	-0.00055045	0.23214	-0.00032111	1.1663	-0.00084512	0.81796	-0.00022684	0.96759	-0.00033798	0.63538	-0.00018959	0.77139	-6.6556E-06	0.76531	-8.8173E-05	0.24644	-0.00012127	0.18023	-5.106E-05	0.12695	-3.4717E-05	0.078494	-2.6945E-05	0.044988	-7.2282E-06	0.25018	5.628E-05	0.18372	-5.1046E-05	0.1267	-3.9915E-05	0.077789	-2.5596E-05	0.047562	-2.5547E-05	1.1482	-0.0047264	0.8183	-0.0039219	0.50612	-0.0017271	0.35113	-0.00086915	0.44941	-1.0098E-05
