#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.12786	-9.6876E-05	0.076343	-2.0557E-05	0.045749	-5.5311E-06	1.1263	-0.00243	0.89573	-0.0044499	0.63277	-0.0022115	0.47575	-0.0028884	0.30738	-0.00053848	1.15	-0.0027663	0.90546	-0.004605	0.63254	-0.002229	0.47066	-0.0031827	0.30009	-0.00056412	0.64277	-0.016806	1.1362	-0.0024332	0.7806	-0.0035263	0.50118	-0.0015692	0.33206	-0.00067427	0.44241	-7.1835E-06	0.78911	-0.0045228	0.50597	-0.0016834	0.34326	-0.00055658	0.25379	-0.00015663	0.19092	-4.3706E-05	1.1621	-0.0022015	0.82337	-0.0043139	0.50945	-0.0012847	0.34601	-0.00057851	0.24047	-0.00031624	1.2444	-0.015725	1.0571	-0.0007251	0.74242	-0.0054721	0.52555	-0.0025291	0.32122	-0.00052724	0.23012	-0.00030115	1.1884	-0.0010232	0.80758	-0.00025026	0.96701	-0.00040891	0.62293	-0.00018826	0.75911	-5.8551E-06	0.7538	-8.504E-05	0.24299	-0.0001175	0.17749	-4.9053E-05	0.12495	-3.369E-05	0.077412	-2.6013E-05	0.044279	-6.9746E-06	0.24641	1.7191E-06	0.18089	-4.8623E-05	0.12474	-3.8923E-05	0.076718	-2.4851E-05	0.046948	-2.9289E-05	1.1649	-0.0025262	0.81891	-0.0042897	0.4978	-0.0016746	0.34518	-0.00083173	0.43965	-9.3209E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.1229	-0.0024266	0.89224	-0.0044384	0.63198	-0.0022228	0.47396	-0.002893	0.30719	-0.00053823	1.1467	-0.0027792	0.9018	-0.004597	0.63174	-0.0022405	0.46873	-0.0031881	0.29988	-0.00056358	NAN	NAN	1.1331	-0.0024301	0.77779	-0.0034819	0.50008	-0.0015614	0.33176	-0.00067222	0.4424	-7.3322E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1601	-0.0022051	0.81956	-0.0042344	0.50857	-0.0012771	0.34571	-0.0005781	NAN	NAN	1.2564	-0.019	1.0551	-0.00072273	0.73881	-0.0054064	0.52408	-0.002518	0.32101	-0.00052551	NAN	NAN	1.1877	-0.001012	0.80743	-0.00025009	0.96653	-0.00040689	0.62286	-0.00018754	0.75923	-5.9695E-06	0.75374	-8.6176E-05	0.24282	-0.00011726	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1651	-0.0028271	0.81543	-0.0042379	0.49662	-0.0016655	0.34478	-0.00082931	0.4396	-9.4235E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.122	-0.002417	0.89198	-0.0044352	0.63181	-0.0022195	0.47418	-0.0028995	0.30712	-0.00053834	1.1459	-0.0027757	0.90152	-0.0045936	0.63156	-0.0022371	0.46895	-0.0031956	0.29981	-0.00056328	NAN	NAN	1.1323	-0.0024218	0.77763	-0.0034793	0.50028	-0.0015638	0.33169	-0.00067293	0.44241	-7.3583E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1595	-0.0022038	0.81933	-0.0042288	0.50875	-0.0012784	0.34568	-0.00057824	NAN	NAN	1.2573	-0.019359	1.0549	-0.00072301	0.73845	-0.0054047	0.52418	-0.0025164	0.32094	-0.000526	NAN	NAN	1.1875	-0.0010155	0.80743	-0.00024964	0.96647	-0.00040646	0.62285	-0.00018783	0.75925	-5.9935E-06	0.75374	-8.6418E-05	0.24283	-0.00011742	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1648	-0.0028605	0.81522	-0.0042342	0.49682	-0.0016683	0.34472	-0.00083004	0.43959	-9.4477E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.1193	-0.0023941	0.89076	-0.0044214	0.6313	-0.0022199	0.47378	-0.0029098	0.30697	-0.00053868	1.1432	-0.0027713	0.90022	-0.0045799	0.63105	-0.0022375	0.46849	-0.003208	0.29964	-0.00056314	NAN	NAN	1.1296	-0.0024029	0.77686	-0.0034671	0.50011	-0.0015641	0.33151	-0.0006728	0.44241	-7.4105E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1576	-0.0022058	0.81821	-0.0042009	0.50863	-0.0012777	0.34554	-0.00057824	NAN	NAN	1.2627	-0.02106	1.0539	-0.00071887	0.73719	-0.0053923	0.52374	-0.0025102	0.32079	-0.00052579	NAN	NAN	1.187	-0.0010183	0.80741	-0.00024817	0.96626	-0.00040508	0.6228	-0.00018798	0.75929	-6.0438E-06	0.7537	-8.6876E-05	0.24276	-0.00011737	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1642	-0.0030417	0.81422	-0.0042165	0.49663	-0.0016688	0.3445	-0.00082983	0.43957	-9.4904E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.1169	-0.0023802	0.88988	-0.0044045	0.63101	-0.0022212	0.47344	-0.0029152	0.30687	-0.00053897	1.1409	-0.0027739	0.89924	-0.0045616	0.63077	-0.0022388	0.4681	-0.0032146	0.29952	-0.00056315	NAN	NAN	1.1275	-0.0023926	0.77646	-0.0034621	0.49993	-0.0015634	0.33139	-0.0006726	0.44241	-7.4576E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1561	-0.0022128	0.81752	-0.0041825	0.50851	-0.0012764	0.34545	-0.00057825	NAN	NAN	1.2673	-0.02252	1.0529	-0.00071419	0.73653	-0.0053874	0.52342	-0.0025066	0.3207	-0.00052557	NAN	NAN	1.1867	-0.0010184	0.80741	-0.00024696	0.96606	-0.00040321	0.62278	-0.000188	0.75933	-6.0922E-06	0.75368	-8.7373E-05	0.24269	-0.00011729	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1641	-0.0032135	0.81366	-0.0042073	0.49644	-0.001668	0.34436	-0.0008296	0.43955	-9.5247E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.1127	-0.0023452	0.88845	-0.0043822	0.63052	-0.0022252	0.47275	-0.002925	0.30666	-0.00053968	1.1367	-0.0027688	0.89767	-0.0045375	0.63026	-0.0022427	0.46732	-0.003227	0.29929	-0.00056325	NAN	NAN	1.1234	-0.0023654	0.77568	-0.0034506	0.49957	-0.0015618	0.33117	-0.00067239	0.4424	-7.5118E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1534	-0.002223	0.81631	-0.004152	0.50824	-0.0012743	0.34527	-0.00057827	NAN	NAN	1.2752	-0.025183	1.0511	-0.00070289	0.73528	-0.0053765	0.52278	-0.0024991	0.32052	-0.00052541	NAN	NAN	1.1862	-0.0010177	0.80739	-0.00024539	0.96578	-0.00040071	0.62274	-0.00018807	0.75939	-6.162E-06	0.75364	-8.8165E-05	0.24257	-0.0001171	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1638	-0.0035621	0.81264	-0.0041901	0.49604	-0.0016664	0.34409	-0.00082922	0.43952	-9.5559E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.1064	-0.0022751	0.8864	-0.0043561	0.62983	-0.0022298	0.47187	-0.0029378	0.3064	-0.00054082	1.1304	-0.0027395	0.89544	-0.00451	0.62958	-0.0022473	0.46633	-0.0032434	0.29899	-0.00056364	NAN	NAN	1.1174	-0.0023077	0.77441	-0.0034288	0.49913	-0.0015601	0.3309	-0.00067212	0.4424	-7.6074E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1491	-0.0022289	0.81445	-0.0041053	0.50792	-0.0012718	0.34505	-0.00057824	NAN	NAN	1.2852	-0.029074	1.0486	-0.00068471	0.73334	-0.0053523	0.52196	-0.0024894	0.32031	-0.00052522	NAN	NAN	1.1854	-0.0010164	0.80733	-0.00024371	0.96547	-0.00039812	0.62267	-0.00018806	0.75947	-6.2673E-06	0.75357	-8.9332E-05	0.2424	-0.00011677	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1637	-0.0041663	0.81098	-0.0041597	0.49556	-0.0016646	0.34377	-0.00082865	0.43948	-9.6118E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.1039	-0.0022412	0.88579	-0.0043483	0.62964	-0.0022309	0.47163	-0.0029418	0.30632	-0.0005413	1.1278	-0.0027202	0.89478	-0.0045017	0.62938	-0.0022484	0.46605	-0.0032486	0.2989	-0.00056394	NAN	NAN	1.115	-0.0022789	0.77403	-0.0034221	0.49901	-0.0015596	0.33083	-0.00067199	0.4424	-7.6423E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1473	-0.0022283	0.8139	-0.0040916	0.50783	-0.0012711	0.345	-0.00057823	NAN	NAN	1.2881	-0.030425	1.0477	-0.00067687	0.73277	-0.0053444	0.52174	-0.0024867	0.32026	-0.00052512	NAN	NAN	1.1851	-0.0010165	0.80731	-0.00024322	0.96538	-0.0003973	0.62265	-0.00018803	0.7595	-6.3018E-06	0.75354	-8.971E-05	0.24233	-0.00011661	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1636	-0.0044044	0.81049	-0.0041505	0.49543	-0.0016642	0.34368	-0.00082846	0.43946	-9.6329E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0969	-0.0021342	0.88424	-0.0043262	0.62923	-0.0022325	0.47111	-0.0029521	0.30613	-0.00054257	1.1204	-0.0026511	0.89309	-0.0044776	0.62897	-0.0022499	0.46545	-0.0032624	0.29867	-0.00056484	NAN	NAN	1.1081	-0.0021862	0.77311	-0.003406	0.49878	-0.0015592	0.33067	-0.00067169	0.44239	-7.7527E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1422	-0.0022212	0.81255	-0.0040573	0.50769	-0.0012696	0.34486	-0.00057821	NAN	NAN	1.2943	-0.034086	1.0453	-0.00065396	0.73142	-0.0053232	0.5213	-0.0024818	0.32013	-0.00052482	NAN	NAN	1.1842	-0.0010172	0.80727	-0.00024172	0.96512	-0.00039479	0.6226	-0.00018795	0.75959	-6.4048E-06	0.75348	-9.0915E-05	0.24215	-0.00011618	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1635	-0.0051493	0.80929	-0.0041281	0.49517	-0.0016639	0.34348	-0.00082806	0.43942	-9.7028E-06
B8	11510	4.07	0.12754	-9.676E-05	0.076141	-2.0529E-05	0.045724	-5.5438E-06	1.0955	-0.0021344	0.88323	-0.0043107	0.62903	-0.0022326	0.47084	-0.0029562	0.30641	-0.00054214	1.1192	-0.0026645	0.89199	-0.004461	0.62876	-0.0022501	0.46515	-0.0032662	0.29895	-0.00056675	0.58837	-0.014533	1.1069	-0.0021916	0.7725	-0.0033966	0.49867	-0.0015589	0.33095	-0.00066591	0.44235	-7.7993E-06	0.77761	-0.0042492	0.50324	-0.001659	0.34208	-0.00055282	0.25256	-0.00015836	0.19078	-3.3469E-05	1.1417	-0.002242	0.81167	-0.004036	0.50763	-0.0012686	0.34483	-0.00057732	0.23813	-0.00032478	1.2973	-0.035507	1.0442	-0.0006471	0.73058	-0.0053083	0.5211	-0.0024798	0.32043	-0.0005204	0.22792	-0.0003046	1.1845	-0.0010084	0.8073	-0.00024073	0.96492	-0.000393	0.62259	-0.00018791	0.75952	-6.9205E-06	0.75334	-9.1446E-05	0.24185	-0.00011478	0.17727	-4.9012E-05	0.12488	-3.3745E-05	0.077172	-2.6034E-05	0.044246	-6.984E-06	0.24551	5.3314E-05	0.18069	-4.8945E-05	0.12463	-3.8791E-05	0.076478	-2.4731E-05	0.046778	-2.4832E-05	1.165	-0.0055142	0.80851	-0.0041147	0.49504	-0.0016638	0.34363	-0.00082268	0.43936	-9.6394E-06
