#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.15265	-0.00014164	0.090755	-2.8927E-05	0.054524	-7.7794E-06	1.0899	-0.0012819	0.91342	-0.0033874	0.67492	-0.0020481	0.52224	-0.0028811	0.35256	-0.00058737	1.107	-0.001475	0.92148	-0.0034654	0.6747	-0.0020646	0.51719	-0.0031942	0.34493	-0.00061696	0.68249	-0.016286	1.0972	-0.0012964	0.81281	-0.0030091	0.54747	-0.0015202	0.37805	-0.00071787	0.48979	-7.0973E-06	0.82012	-0.0038443	0.55216	-0.0016263	0.38962	-0.00058579	0.29621	-0.0001798	0.22712	-5.0109E-05	1.1155	-0.0011822	0.85081	-0.0035486	0.55564	-0.0012381	0.39244	-0.00060938	0.28173	-0.00037918	1.1608	-0.0082287	1.0407	-0.00036435	0.77744	-0.0048496	0.57117	-0.0024343	0.36693	-0.00056531	0.27047	-0.00036704	1.1332	-0.00055165	0.83866	-0.00020418	0.97417	-0.00025487	0.66584	-0.00017341	0.79449	-5.0006E-06	0.78955	-7.2978E-05	0.28462	-0.00013683	0.2117	-6.5653E-05	0.14914	-4.9526E-05	0.092026	-3.6637E-05	0.052779	-9.8234E-06	0.28825	4.4379E-05	0.21564	-6.4695E-05	0.14888	-5.6988E-05	0.091201	-3.4926E-05	0.055942	-3.9559E-05	1.1159	-0.0012899	0.84698	-0.0035558	0.54414	-0.0016255	0.39148	-0.00087759	0.48705	-9.2215E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.0875	-0.0012814	0.91048	-0.0033938	0.67416	-0.0020593	0.52047	-0.0028875	0.35236	-0.00058717	1.1047	-0.0014807	0.91843	-0.0034764	0.67393	-0.002076	0.51527	-0.003202	0.34472	-0.00061645	NAN	NAN	1.0949	-0.0012944	0.81027	-0.0029764	0.5464	-0.001513	0.37775	-0.00071572	0.48978	-7.2442E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1141	-0.0011811	0.84745	-0.0034932	0.55478	-0.001231	0.39212	-0.00060898	NAN	NAN	1.1685	-0.010322	1.0393	-0.0003648	0.77411	-0.0047995	0.56973	-0.0024244	0.36671	-0.00056347	NAN	NAN	1.1327	-0.00054553	0.83852	-0.00020408	0.9738	-0.00025395	0.66577	-0.00017275	0.7946	-5.098E-06	0.78949	-7.3956E-05	0.28443	-0.00013655	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1157	-0.0014394	0.84389	-0.003522	0.54298	-0.0016172	0.39107	-0.0008751	0.48699	-9.3231E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0869	-0.0012771	0.91026	-0.0033924	0.674	-0.0020563	0.52069	-0.0028939	0.35229	-0.00058728	1.1041	-0.0014796	0.9182	-0.0034751	0.67376	-0.002073	0.51548	-0.0032094	0.34464	-0.00061612	NAN	NAN	1.0944	-0.0012906	0.81013	-0.0029746	0.54659	-0.0015152	0.37767	-0.0007165	0.48979	-7.27E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1136	-0.0011807	0.84725	-0.0034892	0.55496	-0.0012322	0.3921	-0.00060913	NAN	NAN	1.1692	-0.010566	1.0392	-0.0003651	0.77378	-0.0047988	0.56983	-0.0024229	0.36664	-0.00056402	NAN	NAN	1.1325	-0.00054718	0.83852	-0.00020371	0.97376	-0.00025372	0.66575	-0.00017302	0.79462	-5.1185E-06	0.78949	-7.4164E-05	0.28445	-0.00013675	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1155	-0.0014572	0.8437	-0.0035194	0.54318	-0.0016199	0.391	-0.0008759	0.48699	-9.3469E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.085	-0.0012673	0.90925	-0.0033867	0.67351	-0.0020571	0.5203	-0.0029048	0.35213	-0.00058769	1.1022	-0.0014788	0.91712	-0.0034704	0.67327	-0.0020737	0.51503	-0.0032226	0.34446	-0.000616	NAN	NAN	1.0925	-0.0012821	0.80943	-0.0029655	0.54642	-0.0015156	0.37748	-0.0007164	0.48979	-7.3216E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1123	-0.0011813	0.84627	-0.0034691	0.55485	-0.0012316	0.39195	-0.00060915	NAN	NAN	1.173	-0.011731	1.0385	-0.00036376	0.77262	-0.0047908	0.56941	-0.0024171	0.36648	-0.00056382	NAN	NAN	1.1322	-0.0005482	0.83851	-0.00020251	0.97359	-0.00025299	0.66571	-0.00017316	0.79466	-5.1613E-06	0.78946	-7.4559E-05	0.28437	-0.00013668	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1149	-0.0015507	0.84281	-0.0035073	0.54299	-0.0016204	0.39078	-0.00087575	0.48697	-9.3891E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0834	-0.001262	0.90851	-0.0033772	0.67324	-0.0020585	0.51995	-0.0029107	0.35202	-0.00058803	1.1006	-0.0014815	0.91631	-0.0034605	0.673	-0.0020751	0.51463	-0.00323	0.34434	-0.00061604	NAN	NAN	1.091	-0.001278	0.80906	-0.002962	0.54625	-0.001515	0.37736	-0.00071621	0.48979	-7.3681E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1112	-0.0011845	0.84566	-0.0034558	0.55473	-0.0012304	0.39185	-0.00060918	NAN	NAN	1.1765	-0.01276	1.0377	-0.00036218	0.772	-0.004788	0.56909	-0.0024138	0.36639	-0.00056359	NAN	NAN	1.132	-0.00054796	0.83851	-0.00020153	0.97344	-0.00025196	0.66569	-0.00017317	0.79469	-5.2024E-06	0.78943	-7.4987E-05	0.2843	-0.00013659	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1146	-0.0016396	0.84232	-0.0035012	0.5428	-0.0016198	0.39063	-0.00087553	0.48695	-9.4231E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0804	-0.0012475	0.90732	-0.0033658	0.67277	-0.0020626	0.51927	-0.0029214	0.35181	-0.00058886	1.0977	-0.0014818	0.91501	-0.0034488	0.67252	-0.0020792	0.51386	-0.0032437	0.34409	-0.0006162	NAN	NAN	1.0881	-0.0012664	0.80836	-0.0029537	0.5459	-0.0015136	0.37714	-0.00071603	0.48979	-7.4217E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1093	-0.0011892	0.8446	-0.0034337	0.55446	-0.0012285	0.39167	-0.00060923	NAN	NAN	1.1829	-0.014715	1.0365	-0.00035776	0.77085	-0.0047812	0.56846	-0.0024071	0.36621	-0.00056345	NAN	NAN	1.1316	-0.00054704	0.83849	-0.00020025	0.97322	-0.00025059	0.66565	-0.00017324	0.79475	-5.2619E-06	0.7894	-7.5669E-05	0.28417	-0.00013637	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1141	-0.0018223	0.84141	-0.0034895	0.54241	-0.0016183	0.39036	-0.0008752	0.48692	-9.454E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.076	-0.0012161	0.90559	-0.0033539	0.67211	-0.0020674	0.5184	-0.0029354	0.35153	-0.00059019	1.0932	-0.0014712	0.91315	-0.0034373	0.67186	-0.002084	0.51288	-0.0032617	0.34378	-0.00061671	NAN	NAN	1.0839	-0.0012399	0.80721	-0.0029374	0.54547	-0.0015121	0.37686	-0.00071579	0.48978	-7.5161E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1062	-0.001192	0.84296	-0.0033999	0.55415	-0.0012262	0.39145	-0.00060924	NAN	NAN	1.1921	-0.01776	1.0347	-0.00035021	0.76906	-0.0047641	0.56766	-0.0023982	0.36599	-0.00056328	NAN	NAN	1.131	-0.00054557	0.83844	-0.00019889	0.97298	-0.0002492	0.66558	-0.00017323	0.79482	-5.3515E-06	0.78933	-7.6674E-05	0.28399	-0.00013599	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1136	-0.0021461	0.83994	-0.0034683	0.54193	-0.0016169	0.39002	-0.00087469	0.48688	-9.5093E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0743	-0.0012003	0.90508	-0.0033503	0.67192	-0.0020686	0.51816	-0.0029397	0.35145	-0.00059073	1.0914	-0.0014634	0.9126	-0.0034338	0.67167	-0.0020852	0.5126	-0.0032675	0.34368	-0.00061707	NAN	NAN	1.0822	-0.0012264	0.80686	-0.0029323	0.54535	-0.0015118	0.37679	-0.00071566	0.48978	-7.5506E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.105	-0.0011919	0.84248	-0.0033898	0.55407	-0.0012255	0.39139	-0.00060923	NAN	NAN	1.1951	-0.018874	1.0341	-0.00034679	0.76852	-0.0047584	0.56745	-0.0023958	0.36593	-0.00056317	NAN	NAN	1.1308	-0.0005453	0.83842	-0.00019849	0.97291	-0.00024875	0.66556	-0.00017321	0.79485	-5.3808E-06	0.7893	-7.7E-05	0.28392	-0.0001358	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1133	-0.0022767	0.8395	-0.0034618	0.54181	-0.0016165	0.38993	-0.0008745	0.48686	-9.5302E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0693	-0.0011495	0.90377	-0.0033393	0.67153	-0.0020704	0.51764	-0.0029509	0.35126	-0.00059219	1.0862	-0.0014337	0.91119	-0.0034224	0.67128	-0.002087	0.512	-0.0032826	0.34345	-0.00061813	NAN	NAN	1.0774	-0.0011821	0.80602	-0.0029202	0.54513	-0.0015114	0.37662	-0.00071538	0.48978	-7.6597E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1014	-0.0011896	0.84128	-0.0033648	0.55393	-0.0012241	0.39126	-0.00060923	NAN	NAN	1.2029	-0.022043	1.0324	-0.00033664	0.76727	-0.0047425	0.56702	-0.0023913	0.3658	-0.00056287	NAN	NAN	1.1301	-0.00054484	0.83839	-0.00019728	0.97271	-0.00024736	0.66552	-0.00017314	0.79494	-5.4685E-06	0.78924	-7.8037E-05	0.28371	-0.00013531	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1127	-0.0026944	0.83843	-0.0034461	0.54155	-0.0016163	0.38973	-0.00087414	0.48682	-9.5993E-06
B8	11510	4.07	0.15226	-0.00014145	0.090515	-2.8881E-05	0.054494	-7.7973E-06	1.0684	-0.0011516	0.90293	-0.0033312	0.67134	-0.0020707	0.51738	-0.0029552	0.35155	-0.0005918	1.0854	-0.0014424	0.91027	-0.0034142	0.67108	-0.0020873	0.5117	-0.0032867	0.34374	-0.00062032	0.63029	-0.014272	1.0766	-0.0011864	0.80547	-0.0029132	0.54502	-0.0015112	0.37692	-0.00070908	0.48973	-7.7057E-06	0.80977	-0.0036368	0.54948	-0.0016038	0.38841	-0.00058201	0.29489	-0.00018186	0.22698	-3.9832E-05	1.1011	-0.0012	0.8405	-0.0033494	0.55387	-0.0012232	0.39123	-0.00060828	0.27918	-0.00038998	1.2064	-0.023293	1.0316	-0.00033384	0.7665	-0.0047309	0.56683	-0.0023895	0.36611	-0.00055803	0.26806	-0.00037171	1.1303	-0.00054027	0.83842	-0.00019646	0.97255	-0.00024636	0.66551	-0.00017311	0.79487	-5.9091E-06	0.78911	-7.8499E-05	0.28339	-0.00013369	0.21145	-6.5587E-05	0.14905	-4.9605E-05	0.091741	-3.6656E-05	0.052739	-9.8364E-06	0.28726	0.00012224	0.2154	-6.5177E-05	0.14875	-5.6845E-05	0.090917	-3.4763E-05	0.055741	-3.3613E-05	1.1135	-0.0028953	0.83774	-0.0034369	0.54143	-0.0016163	0.38989	-0.00086831	0.48676	-9.5366E-06
