#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.12046	-8.6879E-05	0.07181	-1.8164E-05	0.043073	-4.8873E-06	1.1543	-0.0035268	0.87938	-0.0055047	0.59611	-0.0021749	0.443	-0.0025344	0.2863	-0.00045018	1.1832	-0.004018	0.89059	-0.0057387	0.59588	-0.0021914	0.43822	-0.0027811	0.27964	-0.00047261	0.61271	-0.016199	1.1664	-0.0035164	0.75115	-0.0039947	0.46707	-0.0014261	0.30893	-0.00056763	0.41098	-6.3081E-06	0.76072	-0.0051273	0.47174	-0.0015412	0.3192	-0.00047027	0.23732	-0.00013095	0.17966	-3.9827E-05	1.1983	-0.0031897	0.79804	-0.0050336	0.4749	-0.0011767	0.32173	-0.00048789	0.22512	-0.00026462	1.313	-0.022608	1.0702	-0.0010957	0.71084	-0.0058616	0.49087	-0.0023395	0.29898	-0.0004429	0.21564	-0.00025291	1.2313	-0.0014893	0.77905	-0.00029944	0.96079	-0.0005705	0.58545	-0.00018876	0.72643	-6.7095E-06	0.7208	-9.6868E-05	0.22745	-9.8297E-05	0.16715	-4.2587E-05	0.11771	-3.0262E-05	0.072816	-2.2991E-05	0.041691	-6.1645E-06	0.23062	5.8367E-07	0.17032	-4.208E-05	0.1175	-3.4948E-05	0.072163	-2.1969E-05	0.044205	-2.6432E-05	1.2034	-0.0037368	0.79316	-0.0049824	0.46389	-0.0015183	0.32101	-0.00070264	0.4084	-8.1732E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.1502	-0.0035169	0.87538	-0.0054736	0.59532	-0.0021843	0.44132	-0.0025378	0.28613	-0.00044999	1.1792	-0.0040341	0.88638	-0.0057097	0.59508	-0.002201	0.43641	-0.0027852	0.27945	-0.00047217	NAN	NAN	1.1626	-0.0035091	0.74811	-0.003938	0.46603	-0.001419	0.30866	-0.00056595	0.41098	-6.4386E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1959	-0.0031973	0.79383	-0.0049298	0.47406	-0.0011697	0.32145	-0.00048758	NAN	NAN	1.3268	-0.026583	1.0677	-0.0010895	0.70701	-0.0057798	0.48947	-0.0023289	0.29879	-0.00044146	NAN	NAN	1.2305	-0.0014728	0.77888	-0.00029919	0.96022	-0.00056753	0.58537	-0.00018803	0.72655	-6.8411E-06	0.72074	-9.8156E-05	0.2273	-9.8104E-05	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.204	-0.0041787	0.78932	-0.0049115	0.46276	-0.0015099	0.32064	-0.00070064	0.40835	-8.2636E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.1491	-0.0035013	0.87508	-0.0054684	0.59514	-0.0021811	0.44153	-0.0025436	0.28606	-0.00045009	1.1782	-0.0040267	0.88606	-0.0057042	0.5949	-0.0021977	0.43661	-0.0027918	0.27939	-0.00047194	NAN	NAN	1.1615	-0.0034955	0.74794	-0.0039348	0.46621	-0.001421	0.3086	-0.00056655	0.41098	-6.4616E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1951	-0.0031942	0.79357	-0.0049226	0.47423	-0.0011708	0.32143	-0.0004877	NAN	NAN	1.3278	-0.026997	1.0674	-0.0010897	0.70663	-0.0057769	0.48956	-0.0023273	0.29872	-0.00044188	NAN	NAN	1.2302	-0.0014781	0.77888	-0.00029866	0.96016	-0.0005669	0.58536	-0.00018831	0.72658	-6.8687E-06	0.72073	-9.8432E-05	0.22731	-9.8243E-05	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.2036	-0.0042253	0.78909	-0.0049066	0.46295	-0.0015124	0.32058	-0.00070126	0.40834	-8.2848E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.1457	-0.0034625	0.87369	-0.0054462	0.59463	-0.002181	0.44116	-0.0025525	0.28592	-0.00045039	1.1748	-0.0040142	0.88456	-0.0056812	0.59439	-0.0021975	0.43618	-0.0028025	0.27923	-0.00047184	NAN	NAN	1.1583	-0.0034633	0.74711	-0.0039191	0.46605	-0.0014212	0.30843	-0.00056647	0.41098	-6.5074E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1928	-0.0031952	0.79233	-0.0048871	0.47412	-0.00117	0.3213	-0.00048772	NAN	NAN	1.3334	-0.028967	1.0662	-0.0010824	0.70531	-0.0057597	0.48914	-0.0023212	0.29859	-0.00044172	NAN	NAN	1.2296	-0.0014826	0.77886	-0.00029689	0.95991	-0.00056489	0.58532	-0.00018845	0.72662	-6.9265E-06	0.7207	-9.8952E-05	0.22724	-9.8202E-05	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.2032	-0.0044832	0.78798	-0.0048831	0.46277	-0.0015127	0.32038	-0.00070111	0.40832	-8.3223E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.1428	-0.0034373	0.87268	-0.0054219	0.59435	-0.0021818	0.44083	-0.0025571	0.28583	-0.00045064	1.172	-0.0040129	0.88343	-0.0056544	0.5941	-0.0021983	0.43582	-0.0028081	0.27912	-0.00047186	NAN	NAN	1.1556	-0.0034442	0.74667	-0.0039125	0.46589	-0.0014206	0.30832	-0.00056632	0.41098	-6.5488E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.191	-0.0032043	0.79157	-0.0048638	0.474	-0.0011689	0.32121	-0.00048774	NAN	NAN	1.3381	-0.03063	1.0649	-0.0010743	0.70461	-0.0057522	0.48883	-0.0023176	0.2985	-0.00044154	NAN	NAN	1.2293	-0.0014829	0.77886	-0.00029545	0.95967	-0.00056222	0.5853	-0.00018846	0.72667	-6.9821E-06	0.72067	-9.9516E-05	0.22718	-9.8138E-05	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.2031	-0.0047277	0.78737	-0.0048707	0.46259	-0.001512	0.32026	-0.00070092	0.40831	-8.3526E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.1375	-0.0033776	0.87104	-0.0053887	0.59385	-0.002185	0.44019	-0.0025654	0.28564	-0.00045126	1.1669	-0.0039957	0.88163	-0.0056178	0.5936	-0.0022015	0.43509	-0.0028186	0.27891	-0.00047197	NAN	NAN	1.1506	-0.0033972	0.74583	-0.0038978	0.46554	-0.001419	0.30812	-0.00056617	0.41098	-6.5964E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1876	-0.0032167	0.79023	-0.004825	0.47374	-0.0011668	0.32104	-0.00048777	NAN	NAN	1.3457	-0.033586	1.0626	-0.0010556	0.70329	-0.0057365	0.48821	-0.0023104	0.29834	-0.00044143	NAN	NAN	1.2287	-0.0014822	0.77884	-0.00029356	0.95934	-0.00055867	0.58525	-0.00018852	0.72673	-7.0624E-06	0.72063	-0.00010042	0.22707	-9.7985E-05	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.2031	-0.0052178	0.78625	-0.0048477	0.46221	-0.0015104	0.32001	-0.00070063	0.40828	-8.38E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.1297	-0.0032642	0.86869	-0.005348	0.59317	-0.0021886	0.43936	-0.0025763	0.2854	-0.00045224	1.159	-0.0039379	0.87907	-0.005574	0.59291	-0.002205	0.43416	-0.0028324	0.27863	-0.00047234	NAN	NAN	1.1431	-0.0033028	0.74446	-0.0038704	0.46512	-0.0014173	0.30787	-0.00056597	0.41097	-6.6803E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1823	-0.0032203	0.78818	-0.0047658	0.47343	-0.0011645	0.32085	-0.00048777	NAN	NAN	1.3542	-0.037743	1.0596	-0.0010261	0.70125	-0.0057045	0.48742	-0.002301	0.29815	-0.0004413	NAN	NAN	1.2277	-0.0014811	0.77877	-0.00029155	0.95896	-0.00055499	0.58518	-0.00018849	0.72682	-7.1835E-06	0.72055	-0.00010174	0.22692	-9.7716E-05	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.2034	-0.0060519	0.78442	-0.0048077	0.46175	-0.0015087	0.31971	-0.00070018	0.40824	-8.4293E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.1267	-0.0032108	0.868	-0.0053359	0.59297	-0.0021894	0.43914	-0.0025796	0.28533	-0.00045264	1.1558	-0.003904	0.87831	-0.0055609	0.59272	-0.0022058	0.4339	-0.0028368	0.27855	-0.0004726	NAN	NAN	1.1402	-0.003257	0.74404	-0.003862	0.46501	-0.0014169	0.30781	-0.00056587	0.41097	-6.711E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1801	-0.0032168	0.78757	-0.0047484	0.47335	-0.0011638	0.32079	-0.00048776	NAN	NAN	1.3562	-0.039139	1.0585	-0.0010137	0.70064	-0.0056942	0.48721	-0.0022984	0.2981	-0.00044122	NAN	NAN	1.2273	-0.0014814	0.77875	-0.00029096	0.95886	-0.00055383	0.58516	-0.00018846	0.72685	-7.2231E-06	0.72052	-0.00010217	0.22686	-9.7586E-05	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.2034	-0.0063742	0.78388	-0.0047957	0.46163	-0.0015083	0.31963	-0.00070003	0.40823	-8.4479E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.118	-0.003045	0.86623	-0.0053026	0.59256	-0.0021904	0.43865	-0.0025884	0.28516	-0.00045372	1.1466	-0.0037866	0.87637	-0.005524	0.5923	-0.0022068	0.43334	-0.0028485	0.27835	-0.00047337	NAN	NAN	1.1317	-0.0031121	0.74304	-0.0038418	0.46479	-0.0014164	0.30766	-0.00056564	0.41097	-6.808E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1737	-0.0031982	0.78608	-0.0047051	0.47322	-0.0011623	0.32067	-0.00048776	NAN	NAN	1.3594	-0.042816	1.0555	-0.00097771	0.69921	-0.0056676	0.48679	-0.0022935	0.29798	-0.00044099	NAN	NAN	1.2263	-0.0014832	0.77871	-0.00028916	0.95855	-0.00055027	0.58512	-0.00018837	0.72695	-7.3417E-06	0.72045	-0.00010354	0.22669	-9.7239E-05	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.2036	-0.0073662	0.78255	-0.0047664	0.46138	-0.0015079	0.31945	-0.00069971	0.40818	-8.5094E-06
B8	11510	4.07	0.12015	-8.6782E-05	0.07162	-1.814E-05	0.043049	-4.8986E-06	1.1163	-0.0030414	0.86508	-0.0052795	0.59236	-0.0021903	0.4384	-0.0025919	0.28541	-0.00045328	1.1451	-0.0038019	0.87511	-0.0054989	0.5921	-0.0022066	0.43306	-0.0028518	0.2786	-0.00047487	0.5583	-0.013817	1.1302	-0.0031165	0.74239	-0.0038298	0.46469	-0.0014161	0.30792	-0.00056077	0.41093	-6.8491E-06	0.74822	-0.0047881	0.46914	-0.0015182	0.31812	-0.00046716	0.2362	-0.00013243	0.17952	-2.9923E-05	1.1732	-0.0032282	0.78511	-0.0046781	0.47316	-0.0011613	0.32065	-0.00048702	0.22298	-0.00027211	1.3613	-0.044242	1.0542	-0.00096665	0.69833	-0.0056493	0.4866	-0.0022916	0.29825	-0.00043725	0.21363	-0.00025612	1.2266	-0.0014706	0.77874	-0.00028799	0.95831	-0.00054769	0.5851	-0.00018834	0.72687	-7.9324E-06	0.72031	-0.00010414	0.22641	-9.6078E-05	0.16696	-4.2557E-05	0.11764	-3.0311E-05	0.07259	-2.301E-05	0.04166	-6.1729E-06	0.22982	4.3324E-05	0.17014	-4.2365E-05	0.1174	-3.4831E-05	0.071939	-2.1862E-05	0.044044	-2.2389E-05	1.2057	-0.0078605	0.78169	-0.0047486	0.46126	-0.0015077	0.31958	-0.00069519	0.40813	-8.4539E-06
