#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.17787	-0.00019676	0.10533	-3.8806E-05	0.06343	-1.0432E-05	1.0788	-0.00098289	0.92206	-0.0027607	0.70429	-0.001768	0.56085	-0.0026772	0.39549	-0.00060435	1.0936	-0.0011229	0.92927	-0.002815	0.70408	-0.0017826	0.55598	-0.002989	0.38773	-0.00063738	0.7125	-0.015183	1.0851	-0.00099199	0.83115	-0.0025405	0.58507	-0.0013731	0.42102	-0.00071909	0.53045	-6.5279E-06	0.83787	-0.0032603	0.5895	-0.0014667	0.4326	-0.00057919	0.3379	-0.00019599	0.26377	-5.6337E-05	1.101	-0.00089539	0.86573	-0.0029792	0.59286	-0.0011126	0.43539	-0.00060261	0.32254	-0.00043315	1.1322	-0.0053306	1.0359	-0.00028198	0.79871	-0.0041414	0.60734	-0.0021896	0.40996	-0.00057082	0.31059	-0.00042664	1.1163	-0.00041069	0.85483	-0.00016915	0.97696	-0.00020314	0.69612	-0.00014933	0.81459	-4.1775E-06	0.81006	-6.1047E-05	0.32578	-0.00015148	0.24646	-8.3989E-05	0.17374	-6.9141E-05	0.10681	-4.919E-05	0.061408	-1.3191E-05	0.32948	0.00011124	0.25091	-8.2357E-05	0.17343	-7.931E-05	0.10585	-4.6805E-05	0.065066	-5.091E-05	1.1009	-0.00092214	0.86219	-0.0029785	0.58189	-0.0014715	0.43432	-0.00087028	0.52782	-8.4945E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.0767	-0.00098384	0.91942	-0.0027697	0.70359	-0.0017782	0.55916	-0.0026857	0.39529	-0.00060423	1.0916	-0.0011286	0.92654	-0.0028279	0.70337	-0.001793	0.55414	-0.0029994	0.38751	-0.00063696	NAN	NAN	1.0832	-0.00099167	0.82884	-0.0025154	0.58406	-0.0013672	0.42072	-0.00071701	0.53044	-6.663E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0997	-0.0008951	0.8627	-0.0029362	0.59205	-0.0011066	0.43508	-0.00060228	NAN	NAN	1.1374	-0.0067871	1.0347	-0.00028262	0.79567	-0.004103	0.60599	-0.0021819	0.40974	-0.000569	NAN	NAN	1.1158	-0.00040626	0.8547	-0.00016906	0.97662	-0.00020241	0.69606	-0.00014876	0.81468	-4.2585E-06	0.81001	-6.1867E-05	0.32559	-0.00015118	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1006	-0.0010165	0.8594	-0.002954	0.5808	-0.0014647	0.43392	-0.00086794	0.52776	-8.5882E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0762	-0.00098093	0.91923	-0.0027687	0.70344	-0.0017758	0.55936	-0.0026914	0.39521	-0.00060435	1.0911	-0.0011282	0.92633	-0.0028271	0.70322	-0.0017904	0.55434	-0.0030062	0.38744	-0.00063662	NAN	NAN	1.0827	-0.00098917	0.82871	-0.0025139	0.58424	-0.0013691	0.42065	-0.00071783	0.53045	-6.6868E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0993	-0.00089507	0.86252	-0.002933	0.59222	-0.0011076	0.43506	-0.00060245	NAN	NAN	1.1378	-0.006962	1.0345	-0.00028288	0.79537	-0.0041029	0.60609	-0.0021804	0.40967	-0.00056957	NAN	NAN	1.1157	-0.00040753	0.8547	-0.00016876	0.97659	-0.00020223	0.69605	-0.000149	0.8147	-4.2755E-06	0.81	-6.2042E-05	0.3256	-0.00015139	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1003	-0.001028	0.85923	-0.002952	0.58098	-0.001467	0.43385	-0.00086878	0.52776	-8.6102E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0745	-0.0009746	0.91831	-0.0027653	0.70298	-0.0017768	0.55899	-0.0027024	0.39505	-0.00060484	1.0894	-0.001129	0.92536	-0.0028246	0.70276	-0.0017914	0.55391	-0.0030196	0.38725	-0.00063656	NAN	NAN	1.0811	-0.0009838	0.82808	-0.0025069	0.58408	-0.0013695	0.42046	-0.00071779	0.53045	-6.7342E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0982	-0.00089632	0.86162	-0.002917	0.59211	-0.001107	0.43491	-0.0006025	NAN	NAN	1.1405	-0.0078027	1.0339	-0.00028197	0.79431	-0.0040978	0.60569	-0.0021755	0.40952	-0.00056941	NAN	NAN	1.1154	-0.00040836	0.85469	-0.00016776	0.97644	-0.00020166	0.69601	-0.00014912	0.81474	-4.3112E-06	0.80997	-6.2373E-05	0.32552	-0.00015133	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0997	-0.0010881	0.85842	-0.0029428	0.5808	-0.0014676	0.43363	-0.00086871	0.52774	-8.6492E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0731	-0.00097157	0.91765	-0.0027581	0.70273	-0.0017783	0.55866	-0.0027084	0.39494	-0.00060523	1.0881	-0.0011323	0.92464	-0.0028173	0.70251	-0.0017929	0.55353	-0.0030273	0.38713	-0.00063665	NAN	NAN	1.0797	-0.00098162	0.82774	-0.0025043	0.58392	-0.0013691	0.42034	-0.00071763	0.53045	-6.777E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0973	-0.00089928	0.86107	-0.0029062	0.592	-0.0011061	0.43481	-0.00060256	NAN	NAN	1.143	-0.0085569	1.0333	-0.00028088	0.79376	-0.0040964	0.60539	-0.0021728	0.40942	-0.00056921	NAN	NAN	1.1152	-0.00040823	0.85469	-0.00016695	0.9763	-0.00020084	0.69599	-0.00014913	0.81477	-4.3454E-06	0.80995	-6.2732E-05	0.32544	-0.00015123	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0994	-0.0011454	0.85798	-0.0029382	0.58062	-0.0014671	0.43348	-0.00086855	0.52772	-8.6805E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0705	-0.00096222	0.91658	-0.0027499	0.70229	-0.0017821	0.558	-0.0027195	0.39472	-0.00060617	1.0855	-0.0011346	0.92347	-0.0028091	0.70206	-0.0017968	0.55279	-0.0030417	0.38688	-0.0006369	NAN	NAN	1.0773	-0.00097442	0.8271	-0.0024979	0.58358	-0.001368	0.42011	-0.00071752	0.53045	-6.8263E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0956	-0.00090391	0.86011	-0.0028885	0.59175	-0.0011044	0.43463	-0.00060266	NAN	NAN	1.1478	-0.010024	1.0322	-0.00027767	0.7927	-0.0040924	0.6048	-0.0021672	0.40924	-0.00056911	NAN	NAN	1.1149	-0.00040761	0.85467	-0.00016588	0.97611	-0.00019975	0.69595	-0.00014919	0.81482	-4.395E-06	0.80992	-6.3304E-05	0.3253	-0.00015099	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0987	-0.0012635	0.85716	-0.0029293	0.58026	-0.0014661	0.43321	-0.00086832	0.5277	-8.709E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.0667	-0.00094063	0.91503	-0.0027419	0.70169	-0.0017868	0.55717	-0.0027341	0.39444	-0.00060763	1.0816	-0.0011298	0.92181	-0.0028017	0.70145	-0.0018014	0.55185	-0.0030607	0.38656	-0.00063754	NAN	NAN	1.0736	-0.00095663	0.82606	-0.002485	0.58317	-0.0013669	0.41983	-0.00071737	0.53044	-6.9131E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.093	-0.00090768	0.85862	-0.0028614	0.59145	-0.0011025	0.43441	-0.00060272	NAN	NAN	1.1551	-0.012401	1.0306	-0.00027209	0.79107	-0.0040802	0.60404	-0.0021598	0.40902	-0.00056899	NAN	NAN	1.1144	-0.00040663	0.85463	-0.00016476	0.97589	-0.00019864	0.69589	-0.00014919	0.81489	-4.4696E-06	0.80986	-6.4149E-05	0.32511	-0.00015057	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0979	-0.0014739	0.85583	-0.0029131	0.57981	-0.001465	0.43288	-0.00086795	0.52765	-8.7601E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0652	-0.00092942	0.91457	-0.0027395	0.70151	-0.001788	0.55694	-0.0027386	0.39436	-0.00060823	1.0801	-0.0011251	0.92132	-0.0027994	0.70128	-0.0018026	0.55158	-0.0030668	0.38646	-0.00063794	NAN	NAN	1.0721	-0.00094716	0.82574	-0.0024811	0.58306	-0.0013667	0.41976	-0.00071726	0.53044	-6.9448E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0919	-0.00090832	0.85819	-0.0028533	0.59137	-0.001102	0.43436	-0.00060273	NAN	NAN	1.1576	-0.013298	1.0301	-0.00026952	0.79058	-0.004076	0.60384	-0.0021578	0.40896	-0.00056889	NAN	NAN	1.1142	-0.00040648	0.85461	-0.00016443	0.97583	-0.00019828	0.69587	-0.00014917	0.81491	-4.494E-06	0.80984	-6.4423E-05	0.32504	-0.00015037	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0975	-0.0015595	0.85543	-0.0029082	0.57968	-0.0014648	0.43279	-0.0008678	0.52764	-8.7794E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0609	-0.00089282	0.9134	-0.0027318	0.70115	-0.0017898	0.55644	-0.0027501	0.39417	-0.00060983	1.0756	-0.001106	0.92005	-0.0027916	0.70091	-0.0018044	0.55101	-0.0030824	0.38622	-0.00063915	NAN	NAN	1.0679	-0.00091577	0.82498	-0.0024715	0.58285	-0.0013665	0.4196	-0.00071702	0.53043	-7.0452E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0888	-0.00090872	0.85711	-0.0028332	0.59124	-0.0011007	0.43422	-0.00060277	NAN	NAN	1.1646	-0.015929	1.0286	-0.00026188	0.78944	-0.0040641	0.60344	-0.0021541	0.40883	-0.00056862	NAN	NAN	1.1136	-0.00040626	0.85458	-0.00016342	0.97565	-0.00019717	0.69583	-0.00014911	0.81499	-4.567E-06	0.80978	-6.5295E-05	0.32483	-0.00014983	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0966	-0.0018349	0.85446	-0.0028961	0.57944	-0.0014647	0.43258	-0.00086752	0.5276	-8.8432E-06
B8	11510	4.07	0.17741	-0.00019646	0.10505	-3.8736E-05	0.063396	-1.0456E-05	1.0601	-0.00089501	0.91264	-0.0027259	0.70097	-0.0017902	0.55619	-0.0027545	0.39446	-0.00060947	1.0748	-0.0011134	0.91922	-0.0027858	0.70073	-0.0018048	0.55072	-0.0030867	0.38652	-0.00064148	0.66323	-0.013447	1.0672	-0.0009196	0.82448	-0.0024661	0.58275	-0.0013663	0.41989	-0.00071053	0.53039	-7.0876E-06	0.82847	-0.0030948	0.58697	-0.001448	0.4314	-0.00057572	0.33652	-0.00019834	0.26363	-4.6205E-05	1.0885	-0.00091682	0.8564	-0.0028209	0.59119	-0.0010999	0.43419	-0.00060181	0.31983	-0.00044631	1.1678	-0.016988	1.0279	-0.0002598	0.78874	-0.0040552	0.60326	-0.0021526	0.40914	-0.0005636	0.30801	-0.00043275	1.1138	-0.00040279	0.85461	-0.00016275	0.97551	-0.00019638	0.69582	-0.00014908	0.81493	-4.9352E-06	0.80966	-6.5689E-05	0.32449	-0.00014807	0.24618	-8.3888E-05	0.17364	-6.9252E-05	0.10648	-4.9201E-05	0.061362	-1.3208E-05	0.32839	0.00022401	0.25065	-8.3045E-05	0.17328	-7.9166E-05	0.10552	-4.6591E-05	0.064834	-4.3354E-05	1.0971	-0.0019673	0.85383	-0.0028891	0.57933	-0.0014648	0.43274	-0.00086158	0.52754	-8.7857E-06
