#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.26671	-0.00046128	0.15667	-8.5051E-05	0.094804	-2.2847E-05	1.0398	-0.00023215	0.95209	-0.0010728	0.80658	-0.00094389	0.69574	-0.0019948	0.5463	-0.0006629	1.0467	-0.00025218	0.95644	-0.0010766	0.80642	-0.00095229	0.69152	-0.0022941	0.53814	-0.00070868	0.81198	-0.011003	1.0428	-0.0002289	0.89439	-0.0011716	0.7164	-0.00090158	0.57189	-0.00071875	0.67275	-4.6737E-06	0.89867	-0.001516	0.71987	-0.00095451	0.58347	-0.00055208	0.48456	-0.0002575	0.39286	-8.3505E-05	1.0503	-0.00019331	0.91684	-0.001317	0.72282	-0.00071362	0.58615	-0.0005748	0.46618	-0.00065621	1.058	-0.00088032	1.0192	-7.7847E-05	0.87199	-0.0020279	0.73348	-0.0014023	0.56109	-0.00058673	0.45183	-0.00067595	1.0575	-8.1032E-05	0.91096	-7.256E-05	0.98664	-6.8724E-05	0.80157	-7.8753E-05	0.88438	-1.8875E-06	0.88131	-2.7769E-05	0.47061	-0.00020812	0.36892	-0.00016637	0.26041	-0.00016398	0.15886	-0.00010799	0.091805	-2.8981E-05	0.47355	0.0006137	0.37518	-0.00016277	0.25992	-0.00018705	0.15744	-0.0001023	0.097159	-9.5816E-05	1.05	-0.00018753	0.91449	-0.001314	0.71376	-0.00097574	0.58469	-0.00083902	0.67052	-6.1204E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.0388	-0.00023434	0.95048	-0.0010829	0.80607	-0.00095058	0.69433	-0.0020089	0.54609	-0.00066311	1.0457	-0.00025549	0.95478	-0.0010887	0.8059	-0.00095911	0.68999	-0.0023121	0.53791	-0.0007086	NAN	NAN	1.0419	-0.00023057	0.89288	-0.001165	0.71559	-0.00089927	0.5716	-0.00071694	0.67275	-4.7704E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0497	-0.00019413	0.91492	-0.0013052	0.72218	-0.00071075	0.58585	-0.00057473	NAN	NAN	1.0586	-0.0011522	1.0185	-7.8425E-05	0.86997	-0.0020191	0.73243	-0.0014005	0.56088	-0.00058503	NAN	NAN	1.0573	-8.027E-05	0.91088	-7.2532E-05	0.98644	-6.8539E-05	0.80153	-7.8463E-05	0.88444	-1.9236E-06	0.88127	-2.8146E-05	0.47039	-0.00020774	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0498	-0.00020514	0.91271	-0.0013105	0.71289	-0.00097299	0.5843	-0.00083722	0.67047	-6.1883E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0386	-0.00023412	0.95036	-0.001083	0.80596	-0.00094954	0.6945	-0.0020126	0.54601	-0.00066327	1.0455	-0.00025594	0.95465	-0.0010889	0.80579	-0.00095803	0.69015	-0.0023167	0.53783	-0.00070824	NAN	NAN	1.0417	-0.00023044	0.8928	-0.0011646	0.71573	-0.00090028	0.57152	-0.00071787	0.67275	-4.7874E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0495	-0.00019443	0.9148	-0.0013041	0.72231	-0.00071119	0.58583	-0.00057492	NAN	NAN	1.0586	-0.0011872	1.0185	-7.8539E-05	0.86977	-0.0020202	0.7325	-0.0013993	0.5608	-0.00058571	NAN	NAN	1.0573	-8.0558E-05	0.91088	-7.24E-05	0.98642	-6.8484E-05	0.80152	-7.8586E-05	0.88446	-1.9312E-06	0.88127	-2.8226E-05	0.47041	-0.00020802	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0496	-0.00020751	0.91261	-0.00131	0.71304	-0.00097425	0.58423	-0.00083817	0.67047	-6.2042E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0378	-0.00023416	0.9498	-0.0010838	0.80563	-0.00095091	0.69418	-0.0020231	0.54584	-0.00066401	1.0447	-0.00025782	0.95406	-0.0010903	0.80546	-0.00095939	0.68978	-0.0023303	0.53763	-0.00070839	NAN	NAN	1.0409	-0.00023064	0.89238	-0.0011626	0.7156	-0.00090084	0.57133	-0.00071805	0.67275	-4.8214E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.049	-0.00019559	0.91423	-0.0012989	0.72223	-0.00071098	0.58569	-0.0005751	NAN	NAN	1.0589	-0.0013565	1.0181	-7.8488E-05	0.86906	-0.0020214	0.73219	-0.001397	0.56065	-0.00058569	NAN	NAN	1.0571	-8.0809E-05	0.91087	-7.1969E-05	0.98634	-6.8317E-05	0.80149	-7.8652E-05	0.88448	-1.9471E-06	0.88125	-2.8379E-05	0.47031	-0.00020794	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0493	-0.00021932	0.91209	-0.0013079	0.71289	-0.00097497	0.58402	-0.00083841	0.67045	-6.2324E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0371	-0.00023476	0.9494	-0.0010824	0.80545	-0.00095212	0.6939	-0.0020295	0.54573	-0.00066459	1.0441	-0.00026	0.95363	-0.0010891	0.80528	-0.00096061	0.68946	-0.0023388	0.53751	-0.00070865	NAN	NAN	1.0403	-0.00023134	0.89216	-0.0011621	0.71547	-0.00090082	0.57121	-0.00071802	0.67275	-4.852E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0486	-0.00019693	0.91388	-0.0012952	0.72214	-0.00071049	0.58559	-0.00057524	NAN	NAN	1.0592	-0.0015138	1.0178	-7.8391E-05	0.86868	-0.0020228	0.73196	-0.0013959	0.56055	-0.00058556	NAN	NAN	1.057	-8.0832E-05	0.91087	-7.1617E-05	0.98626	-6.8063E-05	0.80148	-7.8661E-05	0.8845	-1.9624E-06	0.88123	-2.8544E-05	0.47022	-0.00020781	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0491	-0.00023052	0.91181	-0.0013068	0.71275	-0.000975	0.58388	-0.00083845	0.67044	-6.2551E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0358	-0.0002349	0.94875	-0.0010815	0.80513	-0.00095502	0.69335	-0.0020416	0.5455	-0.00066591	1.0429	-0.00026323	0.95292	-0.0010885	0.80496	-0.00096352	0.68884	-0.0023551	0.53724	-0.00070925	NAN	NAN	1.0391	-0.00023188	0.89175	-0.0011604	0.71521	-0.00090064	0.57099	-0.00071816	0.67275	-4.8873E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0478	-0.00019927	0.91327	-0.0012893	0.72195	-0.00070975	0.58542	-0.00057551	NAN	NAN	1.0598	-0.0018372	1.0172	-7.7844E-05	0.86797	-0.0020245	0.7315	-0.0013937	0.56036	-0.00058561	NAN	NAN	1.0569	-8.0798E-05	0.91086	-7.1159E-05	0.98615	-6.7724E-05	0.80145	-7.8695E-05	0.88454	-1.9846E-06	0.88121	-2.8807E-05	0.47006	-0.0002075	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0486	-0.00025377	0.91128	-0.0013049	0.71245	-0.00097492	0.58361	-0.00083861	0.67042	-6.2758E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.034	-0.00023308	0.9478	-0.0010818	0.80469	-0.00095863	0.69265	-0.0020574	0.54521	-0.00066792	1.041	-0.00026618	0.95191	-0.0010896	0.80451	-0.00096716	0.68803	-0.0023765	0.5369	-0.00071039	NAN	NAN	1.0374	-0.00023091	0.89106	-0.0011565	0.71488	-0.00090057	0.57071	-0.00071832	0.67274	-4.9496E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0466	-0.00020219	0.91232	-0.0012803	0.72171	-0.0007089	0.5852	-0.00057578	NAN	NAN	1.061	-0.0024134	1.0164	-7.6748E-05	0.86687	-0.0020241	0.73091	-0.0013906	0.56014	-0.00058567	NAN	NAN	1.0567	-8.0739E-05	0.91083	-7.0681E-05	0.98602	-6.7383E-05	0.8014	-7.8699E-05	0.88458	-2.0179E-06	0.88117	-2.9198E-05	0.46984	-0.00020694	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0479	-0.00029571	0.91043	-0.0013009	0.71209	-0.00097501	0.58329	-0.00083873	0.67038	-6.313E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0333	-0.00023162	0.94752	-0.0010819	0.80456	-0.00095958	0.69246	-0.0020621	0.54512	-0.00066871	1.0403	-0.00026668	0.95161	-0.0010898	0.80439	-0.00096811	0.68781	-0.0023832	0.5368	-0.000711	NAN	NAN	1.0367	-0.0002299	0.89085	-0.0011553	0.71479	-0.00090058	0.57064	-0.0007183	0.67274	-4.9723E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0461	-0.0002032	0.91205	-0.0012776	0.72165	-0.00070864	0.58515	-0.00057584	NAN	NAN	1.0615	-0.0026497	1.0161	-7.6188E-05	0.86655	-0.0020236	0.73075	-0.0013898	0.56008	-0.00058561	NAN	NAN	1.0566	-8.0765E-05	0.91082	-7.0542E-05	0.98598	-6.7271E-05	0.80139	-7.8691E-05	0.8846	-2.0288E-06	0.88115	-2.9325E-05	0.46975	-0.00020667	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0477	-0.0003131	0.91018	-0.0012996	0.71199	-0.00097508	0.5832	-0.00083871	0.67037	-6.327E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0312	-0.00022613	0.9468	-0.0010814	0.8043	-0.00096121	0.69204	-0.002074	0.54492	-0.00067083	1.0382	-0.0002668	0.95084	-0.0010896	0.80412	-0.00096975	0.68731	-0.0024001	0.53655	-0.00071274	NAN	NAN	1.0347	-0.00022583	0.89035	-0.0011524	0.71462	-0.00090081	0.57048	-0.00071823	0.67274	-5.0442E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0446	-0.00020585	0.91135	-0.0012708	0.72155	-0.000708	0.58502	-0.000576	NAN	NAN	1.063	-0.0034073	1.0153	-7.4476E-05	0.86578	-0.0020214	0.73044	-0.0013883	0.55995	-0.00058544	NAN	NAN	1.0563	-8.0874E-05	0.9108	-7.0112E-05	0.98588	-6.6924E-05	0.80136	-7.8663E-05	0.88465	-2.0614E-06	0.88112	-2.9727E-05	0.4695	-0.00020595	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0468	-0.00036995	0.90956	-0.0012965	0.7118	-0.0009755	0.583	-0.00083872	0.67033	-6.3733E-06
B8	11510	4.07	0.26599	-0.00046024	0.15626	-8.4837E-05	0.094753	-2.2898E-05	1.0308	-0.00022748	0.94634	-0.0010807	0.80417	-0.00096174	0.69182	-0.0020786	0.54522	-0.00067061	1.0378	-0.00026944	0.95034	-0.0010892	0.80399	-0.00097027	0.68707	-0.0024049	0.53686	-0.0007156	0.77448	-0.010302	1.0343	-0.00022746	0.89002	-0.0011509	0.71454	-0.00090091	0.57078	-0.0007111	0.6727	-5.0747E-06	0.89256	-0.001462	0.71787	-0.00094638	0.58231	-0.00054975	0.48296	-0.00026095	0.39274	-7.4009E-05	1.0445	-0.00020793	0.9109	-0.0012667	0.7215	-0.00070756	0.58499	-0.00057504	0.46291	-0.00067928	1.0639	-0.0037306	1.015	-7.4081E-05	0.86531	-0.0020193	0.7303	-0.0013878	0.56028	-0.00057983	0.44865	-0.00068797	1.0564	-8.0118E-05	0.91082	-6.9816E-05	0.9858	-6.6682E-05	0.80135	-7.865E-05	0.88461	-2.2278E-06	0.88104	-2.9917E-05	0.46911	-0.00020362	0.36853	-0.00016606	0.26025	-0.00016423	0.15837	-0.00010792	0.091736	-2.9016E-05	0.47161	0.00097847	0.37481	-0.00016463	0.2597	-0.00018696	0.15695	-0.00010183	0.096828	-8.2296E-05	1.0469	-0.00039627	0.90915	-0.0012949	0.7117	-0.00097575	0.58317	-0.0008324	0.67028	-6.3323E-06
